model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N910H,ACR,024096220822,SM-N910H/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024096220822/eng.html
SM-N910H,AFR,024085220822,SM-N910H/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024085220822/eng.html
SM-N910H,BTC,024090220822,SM-N910H/BTC, Libya,Libya,No-carrier,Africa,Northern Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024090220822/eng.html
SM-N910H,ECT,024084220822,SM-N910H/ECT, Nigeria,Nigeria,No-carrier,Africa,Sub-Saharan Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024084220822/eng.html
SM-N910H,LYS,024092220822,SM-N910H/LYS, Libya,Libya,No-carrier,Africa,Northern Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024092220822/eng.html
SM-N910H,MID,023997220820,SM-N910H/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-20,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/023997220820/eng.html
SM-N910H,MRU,024097220822,SM-N910H/MRU, Mauritius,Mauritius,No-carrier,Africa,Sub-Saharan Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024097220822/eng.html
SM-N910H,THR,024091220822,SM-N910H/THR, Iran,Iran,No-carrier,Asia,Southern Asia,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024091220822/eng.html
SM-N910H,TMC,024100220822,SM-N910H/TMC, Algeria,Algeria,No-carrier,Africa,Northern Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024100220822/eng.html
SM-N910H,TUN,024101220822,SM-N910H/TUN, Tunisia,Tunisia,No-carrier,Africa,Northern Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024101220822/eng.html
SM-N910H,WTL,024095220822,SM-N910H/WTL, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024095220822/eng.html
SM-N910H,XFA,024199220826,SM-N910H/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-26,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024199220826/eng.html
SM-N910H,XFE,024099220822,SM-N910H/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024099220822/eng.html
SM-N910H,XFU,024094220822,SM-N910H/XFU, Saudi Arabia (STC),Saudi Arabia,STC,Asia,Western Asia,N910HXXU2DVG2,Marshmallow(Android 6.0.1),2022-08-22,2016-05-01,GALAXY Note4 ,https://doc.samsungmobile.com/SM-N910H/024094220822/eng.html
