model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N920C,ACR,023788220818,SM-N920C/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023788220818/eng.html
SM-N920C,AFG,023745220818,SM-N920C/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023745220818/eng.html
SM-N920C,AFR,023743220818,SM-N920C/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023743220818/eng.html
SM-N920C,BTC,023777220818,SM-N920C/BTC, Libya,Libya,No-carrier,Africa,Northern Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023777220818/eng.html
SM-N920C,CAC,023860220819,SM-N920C/CAC, Uzbekistan,Uzbekistan,No-carrier,Asia,Central Asia,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023860220819/eng.html
SM-N920C,CAM,023875220819,SM-N920C/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,N920CXXU5CVG5,Nougat(Android 7.0),2022-08-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023875220819/eng.html
SM-N920C,CAU,023841220819,SM-N920C/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023841220819/eng.html
SM-N920C,CEL,023885220819,SM-N920C/CEL, Israel (Cellcom),Israel,Cellcom,Asia,Western Asia,N920CXXU5CVG4,Nougat(Android 7.0),2022-08-18,2018-02-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023885220819/eng.html
SM-N920C,ECT,023741220818,SM-N920C/ECT, Nigeria,Nigeria,No-carrier,Africa,Sub-Saharan Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023741220818/eng.html
SM-N920C,EGY,023765220818,SM-N920C/EGY, Egypt,Egypt,No-carrier,Africa,Northern Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023765220818/eng.html
SM-N920C,ILO,023829220819,SM-N920C/ILO, Israel,Israel,No-carrier,Asia,Western Asia,N920CXXU5CVG4,Nougat(Android 7.0),2022-08-18,2018-02-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023829220819/eng.html
SM-N920C,KSA,023805220818,SM-N920C/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023805220818/eng.html
SM-N920C,LYS,023782220818,SM-N920C/LYS, Libya,Libya,No-carrier,Africa,Northern Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023782220818/eng.html
SM-N920C,MAT,023781220818,SM-N920C/MAT, Morocco (MAT),Morocco,MAT,Africa,Northern Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023781220818/eng.html
SM-N920C,MID,023754220818,SM-N920C/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023754220818/eng.html
SM-N920C,MTZ,023769220818,SM-N920C/MTZ, Zambia (MTN Zambia),Zambia,MTN Zambia,Africa,Sub-Saharan Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023769220818/eng.html
SM-N920C,MWD,023750220818,SM-N920C/MWD, Morocco (MWD),Morocco,MWD,Africa,Northern Africa,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023750220818/eng.html
SM-N920C,PAK,023790220818,SM-N920C/PAK, Pakistan (PAK),Pakistan,PAK,Asia,Southern Asia,N920CXXU5CVG1,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023790220818/eng.html
SM-N920C,PCL,023817220819,SM-N920C/PCL, Israel (Pelephone),Israel,Pelephone,Asia,Western Asia,N920CXXU5CVG4,Nougat(Android 7.0),2022-08-18,2018-02-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023817220819/eng.html
SM-N920C,PTR,023818220819,SM-N920C/PTR, Israel (Orange/Partner),Israel,Orange/Partner,Asia,Western Asia,N920CXXU5CVG4,Nougat(Android 7.0),2022-08-18,2018-02-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920C/023818220819/eng.html
