model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N920G,ARO,015606201115,SM-N920G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,N920GUBU5CVG5,Nougat(Android 7.0),2022-09-29,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015606201115/eng.html
SM-N920G,ARO,015606201115,SM-N920G/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,N920GUBS5CTJ1,Nougat(Android 7.0),2020-11-14,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015606201115/eng.html
SM-N920G,BNG,023554220812,SM-N920G/BNG, Bangladesh,Bangladesh,No-carrier,Asia,Southern Asia,N920GDDU5CVG1,Nougat(Android 7.0),2022-08-12,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/023554220812/eng.html
SM-N920G,BVO,015617201115,SM-N920G/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,N920GUBU5CVG5,Nougat(Android 7.0),2022-09-29,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015617201115/eng.html
SM-N920G,BVO,015617201115,SM-N920G/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,N920GUBS5CTJ1,Nougat(Android 7.0),2020-11-14,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015617201115/eng.html
SM-N920G,CDR,015946201202,SM-N920G/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,N920GUBU5CVG8,Nougat(Android 7.0),2022-09-30,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015946201202/eng.html
SM-N920G,CDR,015946201202,SM-N920G/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,N920GUBS5CTK2,Nougat(Android 7.0),2020-12-02,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015946201202/eng.html
SM-N920G,CGU,016079201211,SM-N920G/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,N920GUBU5CVGJ,Nougat(Android 7.0),2022-10-14,2018-06-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/016079201211/eng.html
SM-N920G,CGU,016079201211,SM-N920G/CGU, Guatemala (Tigo),Guatemala,Tigo,Americas,Latin America and the Caribbean,N920GUBS5CTKH,Nougat(Android 7.0),2020-12-11,2018-06-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/016079201211/eng.html
SM-N920G,CHL,015960201202,SM-N920G/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,N920GUBU5CVGH,Nougat(Android 7.0),2022-09-30,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015960201202/eng.html
SM-N920G,CHL,015960201202,SM-N920G/CHL, Chile (Claro),Chile,Claro,Americas,Latin America and the Caribbean,N920GUBS5CTKF,Nougat(Android 7.0),2020-12-02,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015960201202/eng.html
SM-N920G,CHO,015676201118,SM-N920G/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,N920GUBU5CVG5,Nougat(Android 7.0),2022-09-29,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015676201118/eng.html
SM-N920G,CHO,015676201118,SM-N920G/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,N920GUBS5CTJ1,Nougat(Android 7.0),2020-11-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015676201118/eng.html
SM-N920G,COB,015838201126,SM-N920G/COB, Colombia (Movistar),Colombia,Movistar,Americas,Latin America and the Caribbean,N920GUBU5CVGC,Nougat(Android 7.0),2022-11-18,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015838201126/eng.html
SM-N920G,COB,015838201126,SM-N920G/COB, Colombia (Movistar),Colombia,Movistar,Americas,Latin America and the Caribbean,N920GUBS5CTK8,Nougat(Android 7.0),2020-11-25,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015838201126/eng.html
SM-N920G,COL,015951201202,SM-N920G/COL, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,N920GUBU5CVGI,Nougat(Android 7.0),2022-09-16,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015951201202/eng.html
SM-N920G,COL,015951201202,SM-N920G/COL, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,N920GUBS5CTKG,Nougat(Android 7.0),2020-12-02,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920G/015951201202/eng.html
