model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N920I,MM1,023717220817,SM-N920I/MM1, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,N920IDVU5CVG2,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023717220817/eng.html
SM-N920I,NZC,023915220819,SM-N920I/NZC, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-19,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023915220819/eng.html
SM-N920I,OPS,023900220819,SM-N920I/OPS, Australia (Optus),Australia,Optus,Oceania,Australia and New Zealand,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-19,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023900220819/eng.html
SM-N920I,PNG,023926220819,SM-N920I/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-19,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023926220819/eng.html
SM-N920I,SIN,023708220817,SM-N920I/SIN, Singapore (SingTel),Singapore,SingTel,Asia,South-eastern Asia,N920IDVU5CVG2,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023708220817/eng.html
SM-N920I,STH,023735220817,SM-N920I/STH, Singapore (StarHub),Singapore,StarHub,Asia,South-eastern Asia,N920IDVU5CVG2,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023735220817/eng.html
SM-N920I,TEL,023766220818,SM-N920I/TEL, Australia (Telstra),Australia,Telstra,Oceania,Australia and New Zealand,N920IDVU5CVG3,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023766220818/eng.html
SM-N920I,TNZ,023913220819,SM-N920I/TNZ, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-19,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023913220819/eng.html
SM-N920I,VAU,023749220818,SM-N920I/VAU, Australia (Vodafone),Australia,Vodafone,Oceania,Australia and New Zealand,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-17,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023749220818/eng.html
SM-N920I,VFJ,023929220819,SM-N920I/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-19,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023929220819/eng.html
SM-N920I,VNZ,023921220819,SM-N920I/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-19,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023921220819/eng.html
SM-N920I,XSA,023739220818,SM-N920I/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,N920IDVU5CVG1,Nougat(Android 7.0),2022-08-17,2018-07-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023739220818/eng.html
SM-N920I,XSP,023668220817,SM-N920I/XSP, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,N920IDVU5CVG2,Nougat(Android 7.0),2022-08-17,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920I/023668220817/eng.html
