model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N920W8,BMC,023976220820,SM-N920W8/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023976220820/eng.html
SM-N920W8,BWA,023936220820,SM-N920W8/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023936220820/eng.html
SM-N920W8,ESK,024020220820,SM-N920W8/ESK, Canada (EastLink),Canada,EastLink,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/024020220820/eng.html
SM-N920W8,FMC,023985220820,SM-N920W8/FMC, Canada (Fido Mobile),Canada,Fido Mobile,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023985220820/eng.html
SM-N920W8,GLW,023941220820,SM-N920W8/GLW, Canada (Globalive Wind Mobile),Canada,Globalive Wind Mobile,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023941220820/eng.html
SM-N920W8,KDO,024065220820,SM-N920W8/KDO, Canada (Koodo Mobile),Canada,Koodo Mobile,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/024065220820/eng.html
SM-N920W8,RWC,024039220820,SM-N920W8/RWC, Canada (Rogers),Canada,Rogers,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/024039220820/eng.html
SM-N920W8,TLS,023951220820,SM-N920W8/TLS, Canada (Telus),Canada,Telus,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023951220820/eng.html
SM-N920W8,VMC,023946220820,SM-N920W8/VMC,Canada (Virgin Mobile) ,Canada,Virgin Mobile,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023946220820/eng.html
SM-N920W8,VTR,024074220820,SM-N920W8/VTR, Canada (Videotron),Canada,Videotron,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/024074220820/eng.html
SM-N920W8,XAC,023994220820,SM-N920W8/XAC, Canada (Unbranded),Canada,Unbranded,Americas,Northern America,N920W8VLU6CVG1,Nougat(Android 7.0),2022-08-20,2018-08-01,Galaxy Note5 ,https://doc.samsungmobile.com/SM-N920W8/023994220820/eng.html
