model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS9HWG9,S(Android 12),2023-09-15,2023-08-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS8HWG2,S(Android 12),2023-08-02,2023-07-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS8HWC3,S(Android 12),2023-04-26,2023-04-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS8HWA1,S(Android 12),2023-02-03,2023-01-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS8HVJ1,S(Android 12),2022-10-28,2022-10-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXU8HVGA,S(Android 12),2022-08-18,2022-08-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS8HVF3,S(Android 12),2022-07-23,2022-07-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS8HVE9,S(Android 12),2022-06-23,2022-06-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXU8HVE5,S(Android 12),2022-05-27,2022-05-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
SM-N970F,ACR,008365190819,SM-N970F/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N970FXXS7HVD6,S(Android 12),2022-04-28,2022-04-01,Galaxy Note10 ,https://doc.samsungmobile.com/SM-N970F/008365190819/eng.html
