model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCS6HWH2,S(Android 12),2023-08-31,2023-07-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5HWE3,S(Android 12),2023-06-05,2023-03-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5HWB2,S(Android 12),2023-03-22,2023-02-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCS5HVL1,S(Android 12),2022-12-27,2022-10-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5HVI2,S(Android 12),2022-10-14,2022-06-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5HVG1,S(Android 12),2022-08-03,2022-05-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5HVF2,S(Android 12),2022-07-12,2022-04-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCS5HVD2,S(Android 12),2022-04-18,2022-03-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5HVC6,S(Android 12),2022-04-07,2022-03-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
SM-N9760,CHC,009083190906,SM-N9760/CHC, China (Open China),China,Open China,Asia,Eastern Asia,N9760ZCU5GVA8,S(Android 12),2022-02-09,2022-01-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N9760/009083190906/eng.html
