model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5HXE1,S(Android 12),2024-06-04,2023-08-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5HWG1,S(Android 12),2023-08-28,2023-08-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5HWE1,S(Android 12),2023-05-24,2023-05-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5HWB2,S(Android 12),2023-03-20,2023-02-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5HVK1,S(Android 12),2022-11-25,2022-11-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5HVH1,S(Android 12),2022-08-24,2022-08-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5HVG2,S(Android 12),2022-08-16,2022-07-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5HVF1,S(Android 12),2022-07-26,2022-06-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5HVD3,S(Android 12),2022-05-13,2022-05-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5HVD2,S(Android 12),2022-04-27,2022-04-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5HVC6,S(Android 12),2022-04-08,2022-03-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5GVA8,S(Android 12),2022-02-08,2022-02-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5FUL1,R(Android 11),2022-01-14,2022-01-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5FUK4,R(Android 11),2021-12-02,2021-12-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5FUJ8,R(Android 11),2021-11-23,2021-11-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5FUI5,R(Android 11),2021-10-13,2021-10-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU5FUI3,R(Android 11),2021-09-17,2021-09-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS5FUG1,R(Android 11),2021-08-06,2021-08-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS4FUF4,R(Android 11),2021-07-08,2021-07-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU4FUF3,R(Android 11),2021-06-28,2021-06-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXS4FUE2,R(Android 11),2021-06-01,2021-05-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
SM-N976Q,KSA,009752191023,SM-N976Q/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,N976QXXU4FUD3,R(Android 11),2021-05-25,2021-04-01,Galaxy Note10+ 5G ,https://doc.samsungmobile.com/SM-N976Q/009752191023/eng.html
