model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-P555M,BVO,016275201225,SM-P555M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK2,Nougat(Android 7.1.1),2020-12-24,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016275201225/eng.html
SM-P555M,CHO,016375201231,SM-P555M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK3,Nougat(Android 7.1.1),2020-12-31,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016375201231/eng.html
SM-P555M,COO,016265201225,SM-P555M/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK2,Nougat(Android 7.1.1),2020-12-24,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016265201225/eng.html
SM-P555M,EON,016532210112,SM-P555M/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK2,Nougat(Android 7.1.1),2021-01-12,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016532210112/eng.html
SM-P555M,TPA,016271201225,SM-P555M/TPA, Panama,Panama,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK2,Nougat(Android 7.1.1),2020-12-24,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016271201225/eng.html
SM-P555M,TTT,016270201225,SM-P555M/TTT, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK2,Nougat(Android 7.1.1),2020-12-24,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016270201225/eng.html
SM-P555M,UPO,016274201225,SM-P555M/UPO, Uruguay,Uruguay,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTK2,Nougat(Android 7.1.1),2020-12-24,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/016274201225/eng.html
SM-P555M,ZTA,009940191031,SM-P555M/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,P555MUBS1CTJC,Nougat(Android 7.1.1),2020-12-22,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/009940191031/eng.html
SM-P555M,ZTA,009940191031,SM-P555M/ZTA, Brazil (Claro),Brazil,Claro,Americas,Latin America and the Caribbean,P555MUBU1CSI2,Nougat(Android 7.1.1),2019-10-31,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/009940191031/eng.html
SM-P555M,ZTO,009932191031,SM-P555M/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,P555MUBS1CTH3,Nougat(Android 7.1.1),2020-09-12,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/009932191031/eng.html
SM-P555M,ZTO,009932191031,SM-P555M/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,P555MUBU1CSI2,Nougat(Android 7.1.1),2019-10-31,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/009932191031/eng.html
SM-P555M,ZVV,010009191103,SM-P555M/ZVV, Brazil (VIVO),Brazil,VIVO,Americas,Latin America and the Caribbean,P555MUBS1CTJC,Nougat(Android 7.1.1),2020-11-26,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/010009191103/eng.html
SM-P555M,ZVV,010009191103,SM-P555M/ZVV, Brazil (VIVO),Brazil,VIVO,Americas,Latin America and the Caribbean,P555MUBU1CSI2,Nougat(Android 7.1.1),2019-11-02,2017-08-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-P555M/010009191103/eng.html
