model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-P585Y,CAM,016016201205,SM-P585Y/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-05,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/016016201205/eng.html
SM-P585Y,MM1,015998201204,SM-P585Y/MM1, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-04,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015998201204/eng.html
SM-P585Y,SIN,015997201204,SM-P585Y/SIN, Singapore (SingTel),Singapore,SingTel,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-04,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015997201204/eng.html
SM-P585Y,STH,015999201204,SM-P585Y/STH, Singapore (StarHub),Singapore,StarHub,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-04,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015999201204/eng.html
SM-P585Y,THL,016030201208,SM-P585Y/THL, Thailand,Thailand,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-08,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/016030201208/eng.html
SM-P585Y,TNZ,015989201204,SM-P585Y/TNZ, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-03,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015989201204/eng.html
SM-P585Y,XID,016200201218,SM-P585Y/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-18,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/016200201218/eng.html
SM-P585Y,XME,015914201201,SM-P585Y/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-01,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015914201201/eng.html
SM-P585Y,XSA,015986201204,SM-P585Y/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-03,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015986201204/eng.html
SM-P585Y,XSP,015987201204,SM-P585Y/XSP, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-04,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/015987201204/eng.html
SM-P585Y,XXV,016303201229,SM-P585Y/XXV, Vietnam,Vietnam,No-carrier,Asia,South-eastern Asia,P585YDXS2CTJ1,Oreo(Android 8.1.0),2020-12-29,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585Y/016303201229/eng.html
