model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-P585,AFR,016290201228,SM-P585/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016290201228/eng.html
SM-P585,ECT,016445210106,SM-P585/ECT, Nigeria,Nigeria,No-carrier,Africa,Sub-Saharan Africa,P585JXS3CTL1,Oreo(Android 8.1.0),2021-01-06,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016445210106/eng.html
SM-P585,KSA,016299201228,SM-P585/KSA, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016299201228/eng.html
SM-P585,MID,016291201228,SM-P585/MID, Iraq,Iraq,No-carrier,Asia,Western Asia,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016291201228/eng.html
SM-P585,PAK,016296201228,SM-P585/PAK, Pakistan (PAK),Pakistan,PAK,Asia,Southern Asia,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016296201228/eng.html
SM-P585,THR,016295201228,SM-P585/THR, Iran,Iran,No-carrier,Asia,Southern Asia,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016295201228/eng.html
SM-P585,XFA,016489210107,SM-P585/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,P585JXS3CTL1,Oreo(Android 8.1.0),2021-01-07,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016489210107/eng.html
SM-P585,XFE,016297201228,SM-P585/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016297201228/eng.html
SM-P585,XFV,016293201228,SM-P585/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016293201228/eng.html
SM-P585,XSG,016292201228,SM-P585/XSG, United Arab Emirates,United Arab Emirates,No-carrier,Asia,Western Asia,P585JXS3CTL1,Oreo(Android 8.1.0),2020-12-28,2018-11-01,Galaxy Tab A⑥ with S Pen ,https://doc.samsungmobile.com/SM-P585/016292201228/eng.html
