model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCS5FXE4,T(Android 13),2024-05-30,2024-04-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCS4FXA1,T(Android 13),2024-02-20,2023-12-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCU4FWJ2,T(Android 13),2023-11-13,2023-07-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCU4FWI1,T(Android 13),2023-09-27,2023-07-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCU3FWD1,T(Android 13),2023-05-10,2023-02-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCU3FWA5,T(Android 13),2023-01-31,2022-12-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCU3EVJ2,S(Android 12),2022-10-27,2022-06-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCS3EVG2,S(Android 12),2022-07-19,2022-05-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCS3EVF1,S(Android 12),2022-06-17,2022-04-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
SM-P615C,CHC,012737200616,SM-P615C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,P615CZCU3EVE6,S(Android 12),2022-06-03,2022-03-01,Galaxy Tab S6 Lite ,https://doc.samsungmobile.com/SM-P615C/012737200616/eng.html
