model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-R945F,ARO,028344231208,SM-R945F/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,R945FXXU1AXC2,T(AndroidWear 5),2024-04-17,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/028344231208/eng.html
SM-R945F,ARO,028344231208,SM-R945F/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,R945FXXU1AXB7,T(AndroidWear 5),2024-03-19,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/028344231208/eng.html
SM-R945F,ARO,028344231208,SM-R945F/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,R945FXXU1AWK4,T(AndroidWear 5),2023-12-08,2023-11-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/028344231208/eng.html
SM-R945F,ATO,027980230926,SM-R945F/ATO, Austria (Open),Austria,Open,Europe,Western Europe,R945FXXU1AXC2,T(AndroidWear 5),2024-04-17,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027980230926/eng.html
SM-R945F,ATO,027980230926,SM-R945F/ATO, Austria (Open),Austria,Open,Europe,Western Europe,R945FXXU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027980230926/eng.html
SM-R945F,ATO,027980230926,SM-R945F/ATO, Austria (Open),Austria,Open,Europe,Western Europe,R945FXXU1AWK4,T(AndroidWear 5),2023-11-29,2023-11-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027980230926/eng.html
SM-R945F,ATO,027980230926,SM-R945F/ATO, Austria (Open),Austria,Open,Europe,Western Europe,R945FXXU1AWI1,T(AndroidWear 5),2023-09-26,2023-06-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027980230926/eng.html
SM-R945F,AUT,027959230926,SM-R945F/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,R945FXXU1AXC2,T(AndroidWear 5),2024-04-17,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027959230926/eng.html
SM-R945F,AUT,027959230926,SM-R945F/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,R945FXXU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027959230926/eng.html
SM-R945F,AUT,027959230926,SM-R945F/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,R945FXXU1AWK4,T(AndroidWear 5),2023-11-29,2023-11-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027959230926/eng.html
SM-R945F,AUT,027959230926,SM-R945F/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,R945FXXU1AWI1,T(AndroidWear 5),2023-09-26,2023-06-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027959230926/eng.html
SM-R945F,BGL,027871230926,SM-R945F/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,R945FXXU1AXC2,T(AndroidWear 5),2024-04-17,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027871230926/eng.html
SM-R945F,BGL,027871230926,SM-R945F/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,R945FXXU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027871230926/eng.html
SM-R945F,BGL,027871230926,SM-R945F/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,R945FXXU1AWK4,T(AndroidWear 5),2023-11-29,2023-11-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027871230926/eng.html
SM-R945F,BGL,027871230926,SM-R945F/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,R945FXXU1AWI1,T(AndroidWear 5),2023-09-26,2023-06-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027871230926/eng.html
SM-R945F,BRI,027907230926,SM-R945F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,R945FXXU1AXC2,T(AndroidWear 5),2024-04-17,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027907230926/eng.html
SM-R945F,BRI,027907230926,SM-R945F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,R945FXXU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027907230926/eng.html
SM-R945F,BRI,027907230926,SM-R945F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,R945FXXU1AWK4,T(AndroidWear 5),2023-11-29,2023-11-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027907230926/eng.html
SM-R945F,BRI,027907230926,SM-R945F/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,R945FXXU1AWI1,T(AndroidWear 5),2023-09-26,2023-06-01,Galaxy Watch6 ,https://doc.samsungmobile.com/SM-R945F/027907230926/eng.html
