model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-R950,ACR,027452230823,SM-R950/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,R950XXU1AXC2,T(AndroidWear 5),2024-04-08,2024-03-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027452230823/eng.html
SM-R950,ACR,027452230823,SM-R950/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,R950XXU1AXB7,T(AndroidWear 5),2024-03-12,2024-03-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027452230823/eng.html
SM-R950,ACR,027452230823,SM-R950/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,R950XXU1AWK4,T(AndroidWear 5),2023-11-20,2023-11-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027452230823/eng.html
SM-R950,ACR,027452230823,SM-R950/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,R950XXU1AWH4,T(AndroidWear 5),2023-08-22,2023-06-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027452230823/eng.html
SM-R950,AFR,027274230823,SM-R950/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,R950XXU1AXC2,T(AndroidWear 5),2024-04-08,2024-03-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027274230823/eng.html
SM-R950,AFR,027274230823,SM-R950/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,R950XXU1AXB7,T(AndroidWear 5),2024-03-12,2024-03-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027274230823/eng.html
SM-R950,AFR,027274230823,SM-R950/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,R950XXU1AWK4,T(AndroidWear 5),2023-11-20,2023-11-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027274230823/eng.html
SM-R950,AFR,027274230823,SM-R950/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,R950XXU1AWH4,T(AndroidWear 5),2023-08-22,2023-06-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027274230823/eng.html
SM-R950,ARO,027353230823,SM-R950/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,R950XXU1AXC2,T(AndroidWear 5),2024-04-08,2024-03-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027353230823/eng.html
SM-R950,ARO,027353230823,SM-R950/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,R950XXU1AXB7,T(AndroidWear 5),2024-03-12,2024-03-01,Galaxy Watch6 Classic ,https://doc.samsungmobile.com/SM-R950/027353230823/eng.html
