model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-R955U,ACG,027814230921,SM-R955U/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-12,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027814230921/eng.html
SM-R955U,ACG,027814230921,SM-R955U/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-15,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027814230921/eng.html
SM-R955U,ACG,027814230921,SM-R955U/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-23,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027814230921/eng.html
SM-R955U,ACG,027814230921,SM-R955U/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027814230921/eng.html
SM-R955U,ATT,027818230921,SM-R955U/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-12,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027818230921/eng.html
SM-R955U,ATT,027818230921,SM-R955U/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-15,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027818230921/eng.html
SM-R955U,ATT,027818230921,SM-R955U/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-21,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027818230921/eng.html
SM-R955U,ATT,027818230921,SM-R955U/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027818230921/eng.html
SM-R955U,CCT,027802230921,SM-R955U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-15,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027802230921/eng.html
SM-R955U,CCT,027802230921,SM-R955U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027802230921/eng.html
SM-R955U,CCT,027802230921,SM-R955U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-23,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027802230921/eng.html
SM-R955U,CCT,027802230921,SM-R955U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027802230921/eng.html
SM-R955U,TMB,027822230921,SM-R955U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-13,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027822230921/eng.html
SM-R955U,TMB,027822230921,SM-R955U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-16,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027822230921/eng.html
SM-R955U,TMB,027822230921,SM-R955U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-23,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027822230921/eng.html
SM-R955U,TMB,027822230921,SM-R955U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027822230921/eng.html
SM-R955U,TMK,028234231129,SM-R955U/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-13,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/028234231129/eng.html
SM-R955U,TMK,028234231129,SM-R955U/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-16,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/028234231129/eng.html
SM-R955U,TMK,028234231129,SM-R955U/TMK, USA (MetroPCS),USA,MetroPCS,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-29,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/028234231129/eng.html
SM-R955U,USC,027826230921,SM-R955U/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-12,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027826230921/eng.html
SM-R955U,USC,027826230921,SM-R955U/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-15,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027826230921/eng.html
SM-R955U,USC,027826230921,SM-R955U/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-23,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027826230921/eng.html
SM-R955U,USC,027826230921,SM-R955U/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027826230921/eng.html
SM-R955U,VZW,027810230921,SM-R955U/VZW, USA (Verizon),USA,Verizon,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-12,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027810230921/eng.html
SM-R955U,VZW,027810230921,SM-R955U/VZW, USA (Verizon),USA,Verizon,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027810230921/eng.html
SM-R955U,VZW,027810230921,SM-R955U/VZW, USA (Verizon),USA,Verizon,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-21,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027810230921/eng.html
SM-R955U,VZW,027810230921,SM-R955U/VZW, USA (Verizon),USA,Verizon,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027810230921/eng.html
SM-R955U,XAA,027806230921,SM-R955U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,R955USQU1AXC2,T(AndroidWear 5),2024-04-12,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027806230921/eng.html
SM-R955U,XAA,027806230921,SM-R955U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,R955USQU1AXB7,T(AndroidWear 5),2024-03-18,2024-03-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027806230921/eng.html
SM-R955U,XAA,027806230921,SM-R955U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,R955USQU1AWK4,T(AndroidWear 5),2023-11-23,2023-11-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027806230921/eng.html
SM-R955U,XAA,027806230921,SM-R955U/XAA, USA (Unbranded/Unlocked),USA,Unbranded/Unlocked,Americas,Northern America,R955USQU1AWI1,,2023-09-20,2023-06-01,Galaxy Watch6 Classic,https://doc.samsungmobile.com/SM-R955U/027806230921/eng.html
