model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDSAEXE3,U(Android 14),5/29/24,5/1/24,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU9EXE1,U(Android 14),5/21/24,4/1/24,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS9DXD8,U(Android 14),4/12/24,4/1/24,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS9DXBB,U(Android 14),3/15/24,3/1/24,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS9DXA1,U(Android 14),2/16/24,2/1/24,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS9DWL1,U(Android 14),1/19/24,1/1/24,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU9DWKB,U(Android 14),12/28/23,12/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS8CWJ1,T(Android 13),11/17/23,11/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS8CWIB,T(Android 13),10/20/23,10/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU8CWH7,T(Android 13),9/29/23,9/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS8BWH1,T(Android 13),8/29/23,8/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS7BWF2,T(Android 13),7/31/23,7/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU6BWF1,T(Android 13),7/18/23,6/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS6BWE1,T(Android 13),6/27/23,6/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS5BWD1,T(Android 13),5/29/23,5/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU4BWC3,T(Android 13),5/2/23,3/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU4BWA5,T(Android 13),2/15/23,1/1/23,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDS3AVJ3,S(Android 12),11/30/22,10/1/22,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU3AVH2,S(Android 12),9/29/22,8/1/22,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU2AVF2,S(Android 12),7/20/22,6/1/22,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
SM-S536DL,TFN,23170220525,SM-S536DL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S536DLUDU2AVD5,S(Android 12),5/24/22,5/1/22,Galaxy A53 5G ,https://doc.samsungmobile.com/SM-S536DL/023170220525/eng.html
