model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS8CXE1,U(Android 14),5/23/24,5/1/24,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDU7CXDE,U(Android 14),5/14/24,4/1/24,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS7BXD1,U(Android 14),4/9/24,4/1/24,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS7BXBA,U(Android 14),3/13/24,3/1/24,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS7BXA2,U(Android 14),2/16/24,2/1/24,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS7BWL3,U(Android 14),1/15/24,1/1/24,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS6BWL2,U(Android 14),12/21/23,12/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDU6BWK4,U(Android 14),12/13/23,11/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS5AWJ1,T(Android 13),11/16/23,11/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS5AWI2,T(Android 13),10/19/23,10/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDU5AWH6,T(Android 13),9/21/23,9/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS5AWG2,T(Android 13),8/31/23,8/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDS4AWG1,T(Android 13),7/25/23,7/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDU3AWF1,T(Android 13),7/11/23,6/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
SM-S546VL,TFN,26843230616,SM-S546VL/TFN, USA (Tracfone),USA,Tracfone,Americas,Northern America,S546VLUDU2AWE1,T(Android 13),6/15/23,4/1/23,Galaxy A54 5G ,https://doc.samsungmobile.com/SM-S546VL/026843230616/eng.html
