model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQS5EXE3,U(Android 14),2024-06-13,2024-06-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQS5EXE2,U(Android 14),2024-05-28,2024-05-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQU4EXE1,U(Android 14),2024-05-10,2024-04-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQS3DWL5,U(Android 14),2024-01-11,2023-12-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQU3DWL2,U(Android 14),2023-12-18,2023-11-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQS3CWI1,T(Android 13),2023-10-05,2023-10-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQS3CWH3,T(Android 13),2023-09-18,2023-09-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQU3CWGI,T(Android 13),2023-08-23,2023-08-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQS3CWF2,T(Android 13),2023-07-10,2023-07-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
SM-S906U,CCT,022004220318,SM-S906U/CCT, USA (Xfinity Mobile),USA,Xfinity Mobile,Americas,Northern America,S906USQU2CWE6,T(Android 13),2023-06-22,2023-06-01,Galaxy S22+ ,https://doc.samsungmobile.com/SM-S906U/022004220318/eng.html
