model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHS3CXF1,U(Android 14),2024-06-17,2024-06-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHS3CXE3,U(Android 14),2024-05-16,2024-05-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHS2CXD1,U(Android 14),2024-04-15,2024-04-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHU2CXCF,U(Android 14),2024-03-28,2024-03-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHS2BXAF,U(Android 14),2024-02-19,2024-02-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHS2BXA1,U(Android 14),2024-01-12,2024-01-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHS2BWL1,U(Android 14),2023-12-29,2023-12-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHU2BWK7,U(Android 14),2023-11-21,2023-11-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHU2AWI1,T(Android 13),2023-10-23,2023-09-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
SM-S9180,BRI,025885230224,SM-S9180/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,S9180ZHU2AWH1,T(Android 13),2023-08-16,2023-08-01,Galaxy S23 Ultra,https://doc.samsungmobile.com/SM-S9180/025885230224/eng.html
