model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-S926U1,ACG,028676240131,SM-S926U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,S926U1UES2AXE4,U(Android 14),2024-06-11,2024-06-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028676240131/eng.html
SM-S926U1,ACG,028676240131,SM-S926U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,S926U1UES2AXD3,U(Android 14),2024-05-11,2024-05-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028676240131/eng.html
SM-S926U1,ACG,028676240131,SM-S926U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,S926U1UEU1AXCB,U(Android 14),2024-03-27,2024-04-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028676240131/eng.html
SM-S926U1,ACG,028676240131,SM-S926U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,S926U1UES1AXBG,U(Android 14),2024-03-02,2024-03-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028676240131/eng.html
SM-S926U1,ACG,028676240131,SM-S926U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,S926U1UEU1AXB7,U(Android 14),2024-02-23,2024-02-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028676240131/eng.html
SM-S926U1,ACG,028676240131,SM-S926U1/ACG, USA (Nextech / C-Spire),USA,Nextech / C-Spire,Americas,Northern America,S926U1UEU1AWM9,U(Android 14),2024-01-30,2024-01-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028676240131/eng.html
SM-S926U1,AIO,028704240131,SM-S926U1/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,S926U1UES2AXE4,U(Android 14),2024-06-11,2024-06-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028704240131/eng.html
SM-S926U1,AIO,028704240131,SM-S926U1/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,S926U1UES2AXD3,U(Android 14),2024-05-10,2024-05-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028704240131/eng.html
SM-S926U1,AIO,028704240131,SM-S926U1/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,S926U1UEU1AXCB,U(Android 14),2024-03-27,2024-04-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028704240131/eng.html
SM-S926U1,AIO,028704240131,SM-S926U1/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,S926U1UES1AXBG,U(Android 14),2024-03-02,2024-03-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028704240131/eng.html
SM-S926U1,AIO,028704240131,SM-S926U1/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,S926U1UEU1AXB7,U(Android 14),2024-02-23,2024-02-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028704240131/eng.html
SM-S926U1,AIO,028704240131,SM-S926U1/AIO, USA (Cricket),USA,Cricket,Americas,Northern America,S926U1UEU1AWM9,U(Android 14),2024-01-30,2024-01-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028704240131/eng.html
SM-S926U1,ATT,028685240131,SM-S926U1/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,S926U1UES2AXE4,U(Android 14),2024-06-11,2024-06-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028685240131/eng.html
SM-S926U1,ATT,028685240131,SM-S926U1/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,S926U1UES2AXD3,U(Android 14),2024-05-10,2024-05-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028685240131/eng.html
SM-S926U1,ATT,028685240131,SM-S926U1/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,S926U1UEU1AXCB,U(Android 14),2024-03-27,2024-04-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028685240131/eng.html
SM-S926U1,ATT,028685240131,SM-S926U1/ATT, USA (AT&T),USA,AT&T,Americas,Northern America,S926U1UES1AXBG,U(Android 14),2024-03-02,2024-03-01,Galaxy S24+,https://doc.samsungmobile.com/SM-S926U1/028685240131/eng.html
