model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T385M,ARO,006755190530,SM-T385M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD2,Oreo(Android 8.1.0),2019-05-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/006755190530/eng.html
SM-T385M,BVO,005714190430,SM-T385M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005714190430/eng.html
SM-T385M,CDR,004232190328,SM-T385M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,T385MUBS2BSC2,Oreo(Android 8.1.0),2019-03-27,2019-03-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/004232190328/eng.html
SM-T385M,CHO,005701190430,SM-T385M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005701190430/eng.html
SM-T385M,COB,006749190530,SM-T385M/COB, Colombia (Movistar),Colombia,Movistar,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-05-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/006749190530/eng.html
SM-T385M,COO,005673190430,SM-T385M/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005673190430/eng.html
SM-T385M,DOO,005711190430,SM-T385M/DOO, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005711190430/eng.html
SM-T385M,EBE,006728190530,SM-T385M/EBE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-05-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/006728190530/eng.html
SM-T385M,EON,005707190430,SM-T385M/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005707190430/eng.html
SM-T385M,IUS,007368190620,SM-T385M/IUS, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,T385MUBU3BSD6,Oreo(Android 8.1.0),2019-06-20,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/007368190620/eng.html
SM-T385M,PET,008136190803,SM-T385M/PET, Peru,Peru,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSG6,Oreo(Android 8.1.0),2019-08-03,2019-07-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/008136190803/eng.html
SM-T385M,PNT,006748190530,SM-T385M/PNT, Peru (Nextel),Peru,Nextel,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-05-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/006748190530/eng.html
SM-T385M,TCE,004118190326,SM-T385M/TCE, Mexico (Telcel),Mexico,Telcel,Americas,Latin America and the Caribbean,T385MUBS2BSC1,Oreo(Android 8.1.0),2019-03-26,2019-03-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/004118190326/eng.html
SM-T385M,TPA,005690190430,SM-T385M/TPA, Panama,Panama,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-30,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005690190430/eng.html
SM-T385M,ZTO,005591190427,SM-T385M/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,T385MUBS3BSD1,Oreo(Android 8.1.0),2019-04-27,2019-04-01,GALAXY Tab A ,https://doc.samsungmobile.com/SM-T385M/005591190427/eng.html
