model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T387W,BMC,008827190827,SM-T387W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,T387WVLS3CVK2,Q(Android 10),2022-11-29,2022-06-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008827190827/eng.html
SM-T387W,BMC,008827190827,SM-T387W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,T387WVLU3CUG2,Q(Android 10),2021-08-24,2021-07-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008827190827/eng.html
SM-T387W,BMC,008827190827,SM-T387W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,T387WVLU1CTG7,Q(Android 10),2020-08-18,2020-07-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008827190827/eng.html
SM-T387W,BMC,008827190827,SM-T387W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,T387WVLU1BSJ2,Pie(Android 9),2019-12-02,2019-11-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008827190827/eng.html
SM-T387W,BMC,008827190827,SM-T387W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,T387WVLU1BSH1,Pie(Android 9),2019-08-26,2019-08-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008827190827/eng.html
SM-T387W,BWA,008844190827,SM-T387W/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,T387WVLS3CVK2,Q(Android 10),2022-11-29,2022-06-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008844190827/eng.html
SM-T387W,BWA,008844190827,SM-T387W/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,T387WVLU3CUG2,Q(Android 10),2021-08-24,2021-07-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008844190827/eng.html
SM-T387W,BWA,008844190827,SM-T387W/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,T387WVLU1CTG7,Q(Android 10),2020-08-18,2020-07-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008844190827/eng.html
SM-T387W,BWA,008844190827,SM-T387W/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,T387WVLU1BSJ2,Pie(Android 9),2019-12-02,2019-11-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008844190827/eng.html
SM-T387W,BWA,008844190827,SM-T387W/BWA, Canada (SaskTel),Canada,SaskTel,Americas,Northern America,T387WVLU1BSH1,Pie(Android 9),2019-08-26,2019-08-01,Galaxy Tab A ,https://doc.samsungmobile.com/SM-T387W/008844190827/eng.html
