model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS9EXEA,T(Android 13),2024-05-30,2024-05-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS8EXA2,T(Android 13),2024-02-21,2024-02-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS7EWK3,T(Android 13),2023-11-20,2023-11-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU6EWH4,T(Android 13),2023-09-11,2023-08-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS5EWE3,T(Android 13),2023-06-16,2023-06-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU4EWBB,T(Android 13),2023-03-09,2023-03-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS4EWB1,T(Android 13),2023-02-21,2023-02-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3EVL1,T(Android 13),2022-12-21,2022-11-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS3DVK3,S(Android 12),2022-11-21,2022-11-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3DVIB,S(Android 12),2022-10-14,2022-08-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3CVH1,S(Android 12),2022-08-16,2022-06-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3CVF2,S(Android 12),2022-06-22,2022-06-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3CVE1,S(Android 12),2022-05-13,2022-03-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3CVD2,S(Android 12),2022-04-14,2022-03-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BVB1,R(Android 11),2022-03-10,2022-02-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BUL2,R(Android 11),2022-01-11,2021-12-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BUJ1,R(Android 11),2021-10-30,2021-10-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BUI8,R(Android 11),2021-10-08,2021-10-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BUG1,R(Android 11),2021-08-09,2021-07-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BUF1,R(Android 11),2021-06-23,2021-06-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU3BUD6,R(Android 11),2021-04-29,2021-03-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXS3AUC2,Q(Android 10),2021-03-26,2021-03-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU2AUA4,Q(Android 10),2021-03-12,2021-02-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
SM-T577,TUR,015897201130,SM-T577/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,T577JXU1ATK1,Q(Android 10),2020-11-30,2020-11-01,Galaxy Tab Active3 ,https://doc.samsungmobile.com/SM-T577/015897201130/eng.html
