model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXS6DXE3,U(Android 14),2024-06-11,2024-05-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU5DXE1,U(Android 14),2024-05-29,2024-04-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU4DXA2,U(Android 14),2024-01-29,2023-11-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU4CWI3,T(Android 13),2023-09-26,2023-07-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXS3CWE1,T(Android 13),2023-05-22,2023-05-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU2CWC5,T(Android 13),2023-03-29,2023-02-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU2CWB1,T(Android 13),2023-02-20,2023-02-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU1CVL1,T(Android 13),2022-12-14,2022-11-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXS1BVK8,S(Android 12),2022-11-30,2022-11-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
SM-T736B,ATO,019030210611,SM-T736B/ATO, Austria (Open),Austria,Open,Europe,Western Europe,T736BXXU1BVI4,S(Android 12),2022-09-22,2022-08-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T736B/019030210611/eng.html
