model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQS9DXE3,U(Android 14),2024-06-10,2024-05-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU8DXE1,U(Android 14),2024-05-27,2024-04-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU7DXA2,U(Android 14),2024-02-05,2024-01-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU7CWI3,T(Android 13),2023-10-30,2023-09-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU6CWE1,T(Android 13),2023-06-19,2023-06-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU5CWD1,T(Android 13),2023-05-15,2023-03-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU5CWC6,T(Android 13),2023-04-17,2023-03-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQS5CWA9,T(Android 13),2023-02-13,2023-01-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQU4CVL4,T(Android 13),2023-02-06,2022-11-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
SM-T738U,TMB,020869211005,SM-T738U/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T738USQS4BVL3,S(Android 12),2022-12-19,2022-10-01,Galaxy Tab S7 FE 5G ,https://doc.samsungmobile.com/SM-T738U/020869211005/eng.html
