model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T815Y,BVO,015892201129,SM-T815Y/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTKA,Nougat(Android 7.0),2020-11-28,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/015892201129/eng.html
SM-T815Y,CAM,016381201231,SM-T815Y/CAM, Cambodia,Cambodia,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2020-12-31,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016381201231/eng.html
SM-T815Y,CHO,015878201129,SM-T815Y/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTKA,Nougat(Android 7.0),2020-11-28,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/015878201129/eng.html
SM-T815Y,COO,015883201129,SM-T815Y/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTKA,Nougat(Android 7.0),2020-11-28,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/015883201129/eng.html
SM-T815Y,EON,015894201129,SM-T815Y/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTKA,Nougat(Android 7.0),2020-11-28,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/015894201129/eng.html
SM-T815Y,MM1,016510210109,SM-T815Y/MM1, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2021-01-09,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016510210109/eng.html
SM-T815Y,MXO,015885201129,SM-T815Y/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTKA,Nougat(Android 7.0),2020-11-28,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/015885201129/eng.html
SM-T815Y,SIN,016507210109,SM-T815Y/SIN, Singapore (SingTel),Singapore,SingTel,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2021-01-09,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016507210109/eng.html
SM-T815Y,STH,016511210109,SM-T815Y/STH, Singapore (StarHub),Singapore,StarHub,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2021-01-09,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016511210109/eng.html
SM-T815Y,TEL,003734190318,SM-T815Y/TEL, Australia (Telstra),Australia,Telstra,Oceania,Australia and New Zealand,T815YDVS2CTK8,Nougat(Android 7.0),2021-01-12,2018-12-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/003734190318/eng.html
SM-T815Y,TEL,003734190318,SM-T815Y/TEL, Australia (Telstra),Australia,Telstra,Oceania,Australia and New Zealand,T815YDVU2CSA2,Nougat(Android 7.0),2019-03-18,2018-12-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/003734190318/eng.html
SM-T815Y,THL,016382201231,SM-T815Y/THL, Thailand,Thailand,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2020-12-31,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016382201231/eng.html
SM-T815Y,TPA,015887201129,SM-T815Y/TPA, Panama,Panama,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTKA,Nougat(Android 7.0),2020-11-28,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/015887201129/eng.html
SM-T815Y,XID,016379201231,SM-T815Y/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2020-12-31,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016379201231/eng.html
SM-T815Y,XME,016377201231,SM-T815Y/XME, Malaysia,Malaysia,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2020-12-31,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016377201231/eng.html
SM-T815Y,XSA,016568210115,SM-T815Y/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,T815YDVS2CTK8,Nougat(Android 7.0),2021-01-14,2018-12-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016568210115/eng.html
SM-T815Y,XSP,016502210109,SM-T815Y/XSP, Singapore,Singapore,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2021-01-09,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016502210109/eng.html
SM-T815Y,XXV,016329201230,SM-T815Y/XXV, Vietnam,Vietnam,No-carrier,Asia,South-eastern Asia,T815YDVS2CTK9,Nougat(Android 7.0),2020-12-30,2018-01-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/016329201230/eng.html
SM-T815Y,ZTO,009647191022,SM-T815Y/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,T815YDVS2CTK1,Nougat(Android 7.0),2020-11-26,2019-08-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/009647191022/eng.html
SM-T815Y,ZTO,009647191022,SM-T815Y/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,T815YDVU2CSI2,Nougat(Android 7.0),2019-10-21,2019-08-01,Galaxy Tab S2 ,https://doc.samsungmobile.com/SM-T815Y/009647191022/eng.html
