model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPS6CVE1,Q(Android 10),2022-05-26,2022-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU5CUL2,Q(Android 10),2022-02-02,2021-11-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU5CUE2,Q(Android 10),2021-06-04,2021-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPS5CUC1,Q(Android 10),2021-04-05,2021-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPS4CTI2,Q(Android 10),2020-10-05,2020-09-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU4CTH6,Q(Android 10),2020-09-14,2020-08-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU4BTF1,Pie(Android 9),2020-08-10,2020-06-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU4BTB1,Pie(Android 9),2020-03-09,2020-02-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPS3BSJ1,Pie(Android 9),2019-10-24,2019-10-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPS3BSG1,Pie(Android 9),2019-07-25,2019-07-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU1BSD3,Pie(Android 9),2019-04-29,2019-04-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU1ASBK,Oreo(Android 8.1.0),2019-03-13,2019-02-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
SM-T837P,SPR,002116181031,SM-T837P/SPR, USA (Sprint),USA,Sprint,Americas,Northern America,T837PVPU1ARJ3,Oreo(Android 8.1.0),2018-10-31,2018-09-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837P/002116181031/eng.html
