model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS6CVE1,Q(Android 10),2022-05-24,2022-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYU5CUL2,Q(Android 10),2022-01-19,2021-11-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYU5CUE2,Q(Android 10),2021-06-03,2021-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS5CUC1,Q(Android 10),2021-03-30,2021-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS4CTI1,Q(Android 10),2020-10-05,2020-09-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYU4CTH5,Q(Android 10),2020-09-21,2020-08-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYU4BTF1,Pie(Android 9),2020-06-23,2020-06-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS4BTC1,Pie(Android 9),2020-03-20,2020-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYU4BTA8,Pie(Android 9),2020-02-06,2020-01-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS4BSK1,Pie(Android 9),2019-11-25,2019-11-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS3BSI2,Pie(Android 9),2019-09-20,2019-09-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS2BSG1,Pie(Android 9),2019-07-26,2019-07-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS1BSE1,Pie(Android 9),2019-05-23,2019-05-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYU1BSCB,Pie(Android 9),2019-04-23,2019-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS1ASC1,Oreo(Android 8.1.0),2019-04-04,2019-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS1ASA2,Oreo(Android 8.1.0),2019-02-01,2019-01-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
SM-T837R4,USC,002087181027,SM-T837R4/USC, USA (US Cellular),USA,US Cellular,Americas,Northern America,T837R4TYS1ARJ2,Oreo(Android 8.1.0),2018-10-26,2018-10-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837R4/002087181027/eng.html
