model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS6CVE1,Q(Android 10),2022-06-06,2022-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU5CUL2,Q(Android 10),2022-02-09,2021-11-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU5CUE2,Q(Android 10),2021-07-14,2021-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS5CUD1,Q(Android 10),2021-05-04,2021-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS4CTI3,Q(Android 10),2020-10-12,2020-09-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU4CTI1,Q(Android 10),2020-10-05,2020-08-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU4BTB2,Pie(Android 9),2020-03-09,2020-02-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS4BSK1,Pie(Android 9),2019-12-06,2019-11-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU3BSI1,Pie(Android 9),2019-10-19,2019-08-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS2BSF2,Pie(Android 9),2019-06-28,2019-06-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU1BSD4,Pie(Android 9),2019-04-29,2019-03-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS1ASB3,Oreo(Android 8.1.0),2019-03-04,2019-02-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVS1ARL1,Oreo(Android 8.1.0),2018-12-24,2018-12-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
SM-T837T,TMB,002663181221,SM-T837T/TMB, USA (T-Mobile),USA,T-Mobile,Americas,Northern America,T837TUVU1ARK1,Oreo(Android 8.1.0),2018-12-21,2018-09-01,Galaxy Tab S4 ,https://doc.samsungmobile.com/SM-T837T/002663181221/eng.html
