model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCS6GXE3,T(Android 13),2024-05-27,2024-04-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCS5GXC1,T(Android 13),2024-04-16,2024-03-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCS5GXA1,T(Android 13),2024-01-30,2023-12-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU4GWH7,T(Android 13),2023-08-31,2023-07-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU3FWF1,T(Android 13),2023-06-26,2023-06-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2FWD1,T(Android 13),2023-04-25,2023-02-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2FWB7,T(Android 13),2023-03-02,2022-12-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2EVL8,T(Android 13),2023-01-05,2022-10-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2EVK6,T(Android 13),2022-12-12,2022-10-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2DVJ1,S(Android 12),2022-10-25,2022-06-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2DVG3,S(Android 12),2022-08-18,2022-05-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCS2DVG1,S(Android 12),2022-07-20,2022-05-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2DVF1,S(Android 12),2022-06-29,2022-04-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCS2DVD1,S(Android 12),2022-04-19,2022-03-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2DVCB,S(Android 12),2022-04-11,2022-03-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2CVA2,R(Android 11),2022-02-24,2022-02-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2CUK2,R(Android 11),2021-11-29,2021-11-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2CUI3,R(Android 11),2021-09-29,2021-08-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2BUH3,R(Android 11),2021-09-06,2021-07-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCS2BUF1,R(Android 11),2021-07-05,2021-06-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
SM-W2021,CHC,016695210121,SM-W2021/CHC, China (Open China),China,Open China,Asia,Eastern Asia,W2021ZCU2BUE1,R(Android 11),2021-06-01,2021-04-01,三星 W21 5G ,https://doc.samsungmobile.com/SM-W2021/016695210121/eng.html
