model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-X516B,ACR,028438231214,SM-X516B/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,X516BXXS4BXE2,U(Android 14),2024-06-03,2024-05-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028438231214/eng.html
SM-X516B,ACR,028438231214,SM-X516B/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,X516BXXU3BXDG,U(Android 14),2024-05-20,2024-04-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028438231214/eng.html
SM-X516B,ACR,028438231214,SM-X516B/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,X516BXXS3BXD6,U(Android 14),2024-04-16,2024-04-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028438231214/eng.html
SM-X516B,ACR,028438231214,SM-X516B/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,X516BXXS2BXA7,U(Android 14),2024-02-06,2024-01-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028438231214/eng.html
SM-X516B,ACR,028438231214,SM-X516B/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,X516BXXU1BWK9,U(Android 14),2023-12-13,2023-11-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028438231214/eng.html
SM-X516B,AFG,028274231206,SM-X516B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,X516BXXS4BXE2,U(Android 14),2024-06-03,2024-05-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028274231206/eng.html
SM-X516B,AFG,028274231206,SM-X516B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,X516BXXU3BXDG,U(Android 14),2024-05-20,2024-04-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028274231206/eng.html
SM-X516B,AFG,028274231206,SM-X516B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,X516BXXS3BXD6,U(Android 14),2024-04-16,2024-04-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028274231206/eng.html
SM-X516B,AFG,028274231206,SM-X516B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,X516BXXS2BXA7,U(Android 14),2024-02-06,2024-01-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028274231206/eng.html
SM-X516B,AFG,028274231206,SM-X516B/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,X516BXXU1BWK9,U(Android 14),2023-12-05,2023-11-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028274231206/eng.html
SM-X516B,AFR,028405231214,SM-X516B/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,X516BXXS4BXE2,U(Android 14),2024-06-03,2024-05-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028405231214/eng.html
SM-X516B,AFR,028405231214,SM-X516B/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,X516BXXU3BXDG,U(Android 14),2024-05-20,2024-04-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028405231214/eng.html
SM-X516B,AFR,028405231214,SM-X516B/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,X516BXXS3BXD6,U(Android 14),2024-04-16,2024-04-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028405231214/eng.html
SM-X516B,AFR,028405231214,SM-X516B/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,X516BXXS2BXA7,U(Android 14),2024-02-06,2024-01-01,Galaxy Tab S9 FE 5G,https://doc.samsungmobile.com/SM-X516B/028405231214/eng.html
