model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-X610,BRI,027760230909,SM-X610/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,X610XXU1AWJ8,T(Android 13),2023-12-11,2023-09-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/027760230909/eng.html
SM-X610,BRI,027760230909,SM-X610/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,X610XXU1AWHK,T(Android 13),2023-09-08,2023-08-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/027760230909/eng.html
SM-X610,CAU,029475240301,SM-X610/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,X610XXS4BXE2,U(Android 14),2024-06-04,2024-05-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/029475240301/eng.html
SM-X610,CAU,029475240301,SM-X610/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,X610XXU3BXE1,U(Android 14),2024-05-23,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/029475240301/eng.html
SM-X610,CAU,029475240301,SM-X610/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,X610XXS3BXD6,U(Android 14),2024-04-19,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/029475240301/eng.html
SM-X610,CAU,029475240301,SM-X610/CAU, Caucasus Countries,Caucasus Countries,No-carrier,,,X610XXS2BXB3,U(Android 14),2024-02-29,2024-01-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/029475240301/eng.html
SM-X610,CHN,028379231211,SM-X610/CHN, China,China,No-carrier,Asia,Eastern Asia,X610ZCS4BXE2,U(Android 14),2024-06-10,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028379231211/eng.html
SM-X610,CHN,028379231211,SM-X610/CHN, China,China,No-carrier,Asia,Eastern Asia,X610ZCU3BXDG,U(Android 14),2024-05-20,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028379231211/eng.html
SM-X610,CHN,028379231211,SM-X610/CHN, China,China,No-carrier,Asia,Eastern Asia,X610ZCS2BXD1,U(Android 14),2024-04-18,2024-03-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028379231211/eng.html
SM-X610,CHN,028379231211,SM-X610/CHN, China,China,No-carrier,Asia,Eastern Asia,X610ZCU1BWK9,U(Android 14),2023-12-11,2023-09-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028379231211/eng.html
SM-X610,ILO,028109231107,SM-X610/ILO, Israel,Israel,No-carrier,Asia,Western Asia,X610XXS4BXE2,U(Android 14),2024-06-04,2024-05-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028109231107/eng.html
SM-X610,ILO,028109231107,SM-X610/ILO, Israel,Israel,No-carrier,Asia,Western Asia,X610XXU3BXE1,U(Android 14),2024-05-24,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028109231107/eng.html
SM-X610,ILO,028109231107,SM-X610/ILO, Israel,Israel,No-carrier,Asia,Western Asia,X610XXS3BXD6,U(Android 14),2024-04-17,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028109231107/eng.html
SM-X610,ILO,028109231107,SM-X610/ILO, Israel,Israel,No-carrier,Asia,Western Asia,X610XXS2BXB3,U(Android 14),2024-02-29,2024-01-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028109231107/eng.html
SM-X610,ILO,028109231107,SM-X610/ILO, Israel,Israel,No-carrier,Asia,Western Asia,X610XXU1BWK9,U(Android 14),2023-12-21,2023-11-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028109231107/eng.html
SM-X610,ILO,028109231107,SM-X610/ILO, Israel,Israel,No-carrier,Asia,Western Asia,X610XXU1AWJ8,T(Android 13),2023-11-06,2023-09-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028109231107/eng.html
SM-X610,INS,028409231214,SM-X610/INS, India,India,No-carrier,Asia,Southern Asia,X610XXS4BXE2,U(Android 14),2024-06-06,2024-05-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028409231214/eng.html
SM-X610,INS,028409231214,SM-X610/INS, India,India,No-carrier,Asia,Southern Asia,X610XXU3BXE1,U(Android 14),2024-05-16,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028409231214/eng.html
SM-X610,INS,028409231214,SM-X610/INS, India,India,No-carrier,Asia,Southern Asia,X610XXS3BXD6,U(Android 14),2024-04-17,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028409231214/eng.html
SM-X610,INS,028409231214,SM-X610/INS, India,India,No-carrier,Asia,Southern Asia,X610XXS2BXB3,U(Android 14),2024-02-28,2024-01-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028409231214/eng.html
SM-X610,INS,028409231214,SM-X610/INS, India,India,No-carrier,Asia,Southern Asia,X610XXU1BWK9,U(Android 14),2023-12-13,2023-11-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028409231214/eng.html
SM-X610,MXO,028428231214,SM-X610/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,X610XXS3BXD6,U(Android 14),2024-04-15,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028428231214/eng.html
SM-X610,MXO,028428231214,SM-X610/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,X610XXS2BXB3,U(Android 14),2024-02-29,2024-01-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028428231214/eng.html
SM-X610,MXO,028428231214,SM-X610/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,X610XXU1BXA6,U(Android 14),2024-02-15,2023-11-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028428231214/eng.html
SM-X610,MXO,028428231214,SM-X610/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,X610XXU1BWK9,U(Android 14),2024-01-06,2023-11-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028428231214/eng.html
SM-X610,MXO,028428231214,SM-X610/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,X610XXU1AWJ8,T(Android 13),2023-12-13,2023-09-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028428231214/eng.html
SM-X610,SEK,028496231223,SM-X610/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,X610XXS4BXE2,U(Android 14),2024-06-04,2024-05-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028496231223/eng.html
SM-X610,SEK,028496231223,SM-X610/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,X610XXU3BXE1,U(Android 14),2024-05-23,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028496231223/eng.html
SM-X610,SEK,028496231223,SM-X610/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,X610XXS3BXD6,U(Android 14),2024-04-19,2024-04-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028496231223/eng.html
SM-X610,SEK,028496231223,SM-X610/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,X610XXS2BXB3,U(Android 14),2024-02-29,2024-01-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028496231223/eng.html
SM-X610,SEK,028496231223,SM-X610/SEK, Ukraine (Kyivstar),Ukraine,Kyivstar,Europe,Eastern Europe,X610XXU1BWK9,U(Android 14),2023-12-22,2023-11-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028496231223/eng.html
SM-X610,TGY,027759230909,SM-X610/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,X610XXU1AWJ8,T(Android 13),2023-12-11,2023-09-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/027759230909/eng.html
SM-X610,TGY,027759230909,SM-X610/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,X610XXU1AWHK,T(Android 13),2023-09-08,2023-08-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/027759230909/eng.html
SM-X610,TUR,028478231222,SM-X610/TUR, Turkey,Turkey,No-carrier,Asia,Western Asia,X610XXS4BXE2,U(Android 14),2024-06-04,2024-05-01,Galaxy Tab S9 FE+,https://doc.samsungmobile.com/SM-X610/028478231222/eng.html
