model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQS6CXE9,U(Android 14),2024-05-30,2024-05-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU5CXE2,U(Android 14),2024-05-11,2024-04-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQS5CXD1,U(Android 14),2024-04-15,2024-03-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU4CWL3,U(Android 14),2024-01-12,2024-01-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQS4BWJ1,T(Android 13),2023-10-20,2023-10-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU4BWH6,T(Android 13),2023-09-06,2023-07-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU4BWE8,T(Android 13),2023-06-30,2023-06-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU3BWE6,T(Android 13),2023-06-15,2023-05-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQS3BWE4,T(Android 13),2023-05-22,2023-04-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU2BWC1,T(Android 13),2023-03-23,2023-02-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU2BWB1,T(Android 13),2023-03-06,2023-02-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
SM-X808U,CHA,023704220817,SM-X808U/CHA, USA (Spectrum Mobile),USA,Spectrum Mobile,Americas,Northern America,X808USQU2BVL2,T(Android 13),2023-01-12,2022-12-01,Galaxy Tab S8+ 5G ,https://doc.samsungmobile.com/SM-X808U/023704220817/eng.html
