model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCS7CXE9,U(Android 14),2024-05-30,2024-04-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU6CXE4,U(Android 14),2024-05-13,2024-04-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU5CWK9,U(Android 14),2023-12-07,2023-09-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU5BWH6,T(Android 13),2023-08-30,2023-07-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU4BWD4,T(Android 13),2023-05-17,2023-02-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU3BWB5,T(Android 13),2023-03-02,2022-12-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU3BWA6,T(Android 13),2023-01-30,2022-12-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU3BVL2,T(Android 13),2023-01-03,2022-10-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU2BVK5,T(Android 13),2022-11-23,2022-10-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU2AVJ4,S(Android 12),2022-10-24,2022-06-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCS2AVF2,S(Android 12),2022-06-23,2022-04-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU2AVE7,S(Android 12),2022-06-13,2022-03-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU2AVE4,S(Android 12),2022-05-25,2022-03-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU2AVD6,S(Android 12),2022-05-05,2022-03-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU1AVCE,S(Android 12),2022-04-21,2022-03-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
SM-X906C,CHC,021988220317,SM-X906C/CHC, China (Open China),China,Open China,Asia,Eastern Asia,X906CZCU1AVC5,S(Android 12),2022-03-17,2022-01-01,Galaxy Tab S8 Ultra 5G ,https://doc.samsungmobile.com/SM-X906C/021988220317/eng.html
