model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,model_url,build_number,android_version,release_date,security_patch_level,device
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS6DXD1,U(Android 14),2024-04-22,2024-04-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS5DXC1,U(Android 14),2024-03-26,2024-03-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBU5DXA2,U(Android 14),2024-03-08,2024-01-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS5CXA1,T(Android 13),2024-02-05,2024-01-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS5CWK1,T(Android 13),2024-01-02,2023-12-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBU5CWJ2,T(Android 13),2023-11-15,2023-10-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS4CWJ1,T(Android 13),2023-10-30,2023-09-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS4CWG1,T(Android 13),2023-08-15,2023-08-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBU4CWF5,T(Android 13),2023-07-21,2023-06-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS4CWE1,T(Android 13),2023-06-19,2023-06-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBU3CWD1,T(Android 13),2023-05-03,2023-04-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS1BWC1,T(Android 13),2023-03-31,2023-03-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS1BWA5,T(Android 13),2023-02-17,2023-01-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBU1BVK5,T(Android 13),2023-02-02,2022-11-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBU1AVK3,S(Android 12),2022-12-15,2022-11-01,Galaxy A04s 
SM-A047M,ARO,025487221124,SM-A047M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025487221124/eng.html,A047MUBS1AVK1,S(Android 12),2022-11-24,2022-11-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS6DXD1,U(Android 14),2024-04-19,2024-04-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS5DXC1,U(Android 14),2024-04-16,2024-03-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBU5DXA2,U(Android 14),2024-04-15,2024-01-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS5CXA1,T(Android 13),2024-01-26,2024-01-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS5CWK1,T(Android 13),2023-12-18,2023-12-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBU5CWJ2,T(Android 13),2023-11-07,2023-10-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS4CWJ1,T(Android 13),2023-10-27,2023-09-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS4CWG1,T(Android 13),2023-08-11,2023-08-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBU4CWF5,T(Android 13),2023-08-08,2023-06-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS4CWE1,T(Android 13),2023-06-19,2023-06-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBU3CWD1,T(Android 13),2023-05-03,2023-04-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS1BWC1,T(Android 13),2023-03-24,2023-03-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS1BWA5,T(Android 13),2023-02-17,2023-01-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBU1BVK5,T(Android 13),2023-02-16,2022-11-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBU1AVK3,S(Android 12),2022-12-06,2022-11-01,Galaxy A04s 
SM-A047M,CDR,025517221202,SM-A047M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,https://doc.samsungmobile.com/SM-A047M/025517221202/eng.html,A047MUBS1AVK1,S(Android 12),2022-12-01,2022-11-01,Galaxy A04s 
