timestamp,device,period
2023-05-22,Galaxy Z Fold2,monthly
2023-05-22,Galaxy Z Fold2 5G,monthly
2023-05-22,Galaxy Z Fold3 5G,monthly
2023-05-22,Galaxy Z Fold4,monthly
2023-05-22,Galaxy Z Flip 5G,monthly
2023-05-22,Galaxy Z Flip3 5G,monthly
2023-05-22,Galaxy Z Flip4,monthly
2023-05-22,W23,monthly
2023-05-22,W23 flip,monthly
2023-05-22,Galaxy S20,monthly
2023-05-22,Galaxy S20 5G,monthly
2023-05-22,Galaxy S20+,monthly
2023-05-22,Galaxy S20+ 5G,monthly
2023-05-22,Galaxy S20 Ultra,monthly
2023-05-22,Galaxy S20 Ultra 5G,monthly
2023-05-22,Galaxy S20 FE,monthly
2023-05-22,Galaxy S20 FE 5G,monthly
2023-05-22,Galaxy S21 5G,monthly
2023-05-22,Galaxy S21+ 5G,monthly
2023-05-22,Galaxy S21 Ultra 5G,monthly
2023-05-22,Galaxy S21 FE 5G,monthly
2023-05-22,Galaxy S22,monthly
2023-05-22,Galaxy S22+,monthly
2023-05-22,Galaxy S22 Ultra,monthly
2023-05-22,Galaxy S23,monthly
2023-05-22,Galaxy S23+,monthly
2023-05-22,Galaxy S23 Ultra,monthly
2023-05-22,Galaxy Note20,monthly
2023-05-22,Galaxy Note20 5G,monthly
2023-05-22,Galaxy Note20 Ultra,monthly
2023-05-22,Galaxy Note20 Ultra 5G,monthly
2023-05-22,Enterprise Models: Galaxy A52,monthly
2023-05-22,Galaxy A52 5G,monthly
2023-05-22,Galaxy A52s 5G,monthly
2023-05-22,Galaxy A53 5G,monthly
2023-05-22,Galaxy A54 5G,monthly
2023-05-22,Galaxy Xcover5,monthly
2023-05-22,Galaxy Xcover6 Pro,monthly
2023-05-22,Galaxy Fold,quarterly
2023-05-22,Galaxy Fold 5G,quarterly
2023-05-22,Galaxy Z Flip,quarterly
2023-05-22,W22 5G,quarterly
2023-05-22,Galaxy S10 5G,quarterly
2023-05-22,Galaxy S10 Lite,quarterly
2023-05-22,Galaxy Note10,quarterly
2023-05-22,Galaxy Note10 5G,quarterly
2023-05-22,Galaxy Note10+,quarterly
2023-05-22,Galaxy Note10+ 5G,quarterly
2023-05-22,Galaxy Note10 Lite,quarterly
2023-05-22,Galaxy A22,quarterly
2023-05-22,Galaxy A22e 5G,quarterly
2023-05-22,Galaxy A22 5G,quarterly
2023-05-22,Galaxy A32,quarterly
2023-05-22,Galaxy A32 5G,quarterly
2023-05-22,Galaxy A03,quarterly
2023-05-22,Galaxy A03s,quarterly
2023-05-22,Galaxy A03 core,quarterly
2023-05-22,Galaxy A13,quarterly
2023-05-22,Galaxy A13 5G,quarterly
2023-05-22,Galaxy A23,quarterly
2023-05-22,Galaxy A23 5G,quarterly
2023-05-22,Galaxy A33 5G,quarterly
2023-05-22,Galaxy A73 5G,quarterly
2023-05-22,Galaxy A04,quarterly
2023-05-22,Galaxy A04s,quarterly
2023-05-22,Galaxy A04e,quarterly
2023-05-22,Galaxy A14,quarterly
2023-05-22,Galaxy A14 5G,quarterly
2023-05-22,Galaxy A34 5G,quarterly
2023-05-22,Galaxy M21 2021,quarterly
2023-05-22,Galaxy M22,quarterly
2023-05-22,Galaxy M32,quarterly
2023-05-22,Galaxy M32 5G,quarterly
2023-05-22,Galaxy M42 5G,quarterly
2023-05-22,Galaxy M52 5G,quarterly
2023-05-22,Galaxy M13,quarterly
2023-05-22,Galaxy M23 5G,quarterly
2023-05-22,Galaxy M33 5G,quarterly
2023-05-22,Galaxy M53 5G,quarterly
2023-05-22,Galaxy M04,quarterly
2023-05-22,Galaxy M14 5G,quarterly
2023-05-22,Galaxy M54 5G,quarterly
2023-05-22,Galaxy F22,quarterly
2023-05-22,Galaxy F42 5G,quarterly
2023-05-22,Galaxy F52 5G,quarterly
2023-05-22,Galaxy F13,quarterly
2023-05-22,Galaxy F04,quarterly
2023-05-22,Galaxy F14 5G,quarterly
2023-05-22,Galaxy Tab A7 Lite,quarterly
2023-05-22,Galaxy Tab A8,quarterly
2023-05-22,Galaxy Tab Active Pro,quarterly
2023-05-22,Galaxy Tab Active3,quarterly
2023-05-22,Galaxy Tab Active4 Pro,quarterly
2023-05-22,Galaxy Tab S6 Lite,quarterly
2023-05-22,Galaxy Tab S7,quarterly
2023-05-22,Galaxy Tab S7 FE,quarterly
2023-05-22,Galaxy Tab S8,quarterly
2023-05-22,Galaxy Tab S8+,quarterly
2023-05-22,Galaxy Tab S8 Ultra,quarterly
2023-05-22,Enterprise Models: Galaxy XCover4s,quarterly
2023-05-22,Galaxy Xcover FieldPro,quarterly
2023-05-22,Galaxy Xcover Pro,quarterly
2023-05-22,Galaxy A10e,biannual
2023-05-22,Galaxy A10s,biannual
2023-05-22,Galaxy A20e,biannual
2023-05-22,Galaxy A20s,biannual
2023-05-22,Galaxy A30s,biannual
2023-05-22,Galaxy A50s,biannual
2023-05-22,Galaxy A60,biannual
2023-05-22,Galaxy A70,biannual
2023-05-22,Galaxy A70s,biannual
2023-05-22,Galaxy A80,biannual
2023-05-22,Galaxy A90 5G,biannual
2023-05-22,Galaxy A01,biannual
2023-05-22,Galaxy A11,biannual
2023-05-22,Galaxy A21,biannual
2023-05-22,Galaxy A21s,biannual
2023-05-22,Galaxy A31,biannual
2023-05-22,Galaxy A41,biannual
2023-05-22,Galaxy A51,biannual
2023-05-22,Galaxy A51 5G,biannual
2023-05-22,Galaxy A71,biannual
2023-05-22,Galaxy A71 5G,biannual
2023-05-22,Galaxy A02,biannual
2023-05-22,Galaxy A02s,biannual
2023-05-22,Galaxy A12,biannual
2023-05-22,Galaxy A42 5G,biannual
2023-05-22,Galaxy A72,biannual
2023-05-22,Galaxy A82 5G,biannual
2023-05-22,Galaxy M10s,biannual
2023-05-22,Galaxy M30s,biannual
2023-05-22,Galaxy M40,biannual
2023-05-22,Galaxy M01,biannual
2023-05-22,Galaxy M11,biannual
2023-05-22,Galaxy M21,biannual
2023-05-22,Galaxy M31,biannual
2023-05-22,Galaxy M31s,biannual
2023-05-22,Galaxy M51,biannual
2023-05-22,Galaxy M12,biannual
2023-05-22,Galaxy M62,biannual
2023-05-22,Galaxy F12,biannual
2023-05-22,Galaxy F62,biannual
2023-05-22,Galaxy Tab A 8 (2019),biannual
2023-05-22,Galaxy Tab A 8.4 (2020),biannual
2023-05-22,Galaxy Tab A7,biannual
2023-05-22,Galaxy Tab S6,biannual
2023-05-22,Galaxy Tab S6 5G,biannual
2023-05-22,Galaxy Tab S7+,biannual
2023-05-22,W20 5G,biannual
2023-05-22,W21 5G,biannual
2023-05-22,Galaxy Watch4,quarterly
2023-05-22,Galaxy Watch4 Classic,quarterly
2023-05-22,Galaxy Watch5,quarterly
2023-05-22,Galaxy Watch5 Pro,quarterly
