device,monthly_start,monthly_end,quarterly_start,quarterly_end,biannual_start,biannual_end
Galaxy Z Fold2,2020-09-14,2023-10-03,2020-09-14,2024-04-04,,
Galaxy Z Fold2 5G,2020-09-14,2024-05-27,2020-09-14,2024-05-27,,
Galaxy Z Fold3 5G,2021-09-07,2024-05-27,,,,
Galaxy Z Fold4,2022-09-07,2024-05-27,,,,
Galaxy Z Flip,2020-03-03,2023-04-04,2020-03-03,2024-03-31,,
Galaxy Z Flip 5G,2020-08-06,2023-09-05,2020-08-06,2024-05-27,,
Galaxy Z Flip3 5G,2021-09-07,2024-05-27,,,,
Galaxy Z Flip4,2022-09-07,2024-05-27,,,,
W23,2022-11-08,2024-05-27,,,,
W23 flip,2022-11-08,2024-05-27,,,,
Galaxy S10 Lite,2020-03-03,2023-03-07,2020-03-03,2024-03-01,,
Galaxy S20,2020-03-03,2024-03-31,2020-03-03,2024-05-27,,
Galaxy S20 5G,2020-03-03,2024-03-31,2020-03-03,2024-05-27,,
Galaxy S20+,2020-03-03,2024-03-31,2020-03-03,2024-05-27,,
Galaxy S20+ 5G,2020-03-03,2024-03-31,2020-03-03,2024-05-27,,
Galaxy S20 Ultra,2020-03-03,2024-03-31,2020-03-03,2024-04-04,,
Galaxy S20 Ultra 5G,2020-03-03,2024-03-31,2020-03-03,2024-05-27,,
Galaxy S20 FE,2020-10-12,2024-05-27,2020-10-12,2024-04-03,,
Galaxy S20 FE 5G,2020-10-12,2024-05-27,2020-10-12,2024-04-03,,
Galaxy S21 5G,2021-02-03,2024-05-27,,,,
Galaxy S21+ 5G,2021-02-03,2024-05-27,,,,
Galaxy S21 Ultra 5G,2021-02-03,2024-05-27,,,,
Galaxy S21 FE 5G,2022-02-08,2024-05-27,,,,
Galaxy S22,2022-03-08,2024-05-27,,,,
Galaxy S22+,2022-03-08,2024-05-27,,,,
Galaxy S22 Ultra,2022-03-08,2024-05-27,,,,
Galaxy Note10 Lite,2020-03-03,2023-03-07,2020-03-03,2024-03-01,,
Galaxy Note20,2020-09-14,2024-05-27,2020-09-14,2024-04-03,,
Galaxy Note20 5G,2020-09-14,2024-05-27,2020-09-14,2024-04-03,,
Galaxy Note20 Ultra,2020-09-14,2024-05-27,2020-09-14,2024-04-03,,
Galaxy Note20 Ultra 5G,2020-09-14,2024-05-27,2020-09-14,2024-04-03,,
Enterprise Models: Galaxy A52,2022-04-05,2024-05-04,2024-05-10,2024-05-27,,
Galaxy A52 5G,2021-03-02,2024-04-04,2024-04-03,2024-05-27,,
Galaxy A52s 5G,2021-09-07,2024-05-04,,,,
Galaxy A53 5G,2022-04-05,2024-05-27,,,,
Galaxy Xcover Pro,2021-02-03,2023-03-07,2023-03-07,2024-05-27,,
Galaxy Xcover5,2021-03-02,2024-05-27,,,,
Galaxy Xcover6 Pro,2022-07-09,2024-05-27,,,,
Galaxy S10,2019-04-05,2022-04-03,2019-04-05,2023-04-04,,
Galaxy S10+,2019-04-05,2022-04-03,2019-04-05,2023-04-04,,
Galaxy S10e,2019-04-05,2022-04-03,2019-04-05,2023-04-04,,
Galaxy S10 5G,2019-08-07,2022-06-03,2019-08-07,2023-06-05,,
Galaxy Note10,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,
Galaxy Note10 5G,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,
Galaxy Note10+,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,
Galaxy Note10+ 5G,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,
Galaxy A40,,,2019-04-05,2023-04-28,,
Galaxy A02,,,2021-02-03,2023-03-07,2023-03-07,2024-03-01
Galaxy A22,,,2021-07-07,2023-08-04,2023-08-08,2024-05-27
Galaxy A22e 5G,,,2022-01-12,2024-05-27,,
Galaxy A22 5G,,,2021-07-07,2023-06-29,2023-07-05,2024-05-27
Galaxy A32,,,2021-03-02,2024-05-27,,
Galaxy A32 5G,,,2021-04-06,2024-05-27,,
Galaxy A72,,,2021-04-06,2023-04-04,2023-04-04,2024-05-27
Galaxy A82 5G,,,2021-05-04,2023-04-28,2023-05-04,2024-05-27
Galaxy A03,,,2021-12-13,2024-01-31,2024-02-06,2024-05-27
Galaxy A03s,,,2021-09-07,2023-10-03,2023-10-04,2024-05-27
Galaxy A03 core,,,2021-12-13,2024-01-02,2024-01-04,2024-05-27
Galaxy A13,,,2022-04-05,2024-05-27,,
Galaxy A13 5G,,,2021-12-13,2024-05-27,,
Galaxy A23,,,2022-04-05,2024-05-27,,
Galaxy A23 5G,,,2022-09-07,2024-05-27,,
Galaxy A33 5G,,,2022-04-05,2024-05-27,,
Galaxy A73 5G,,,2022-04-05,2024-05-27,,
Galaxy A04,,,2022-09-07,2024-05-27,,
Galaxy A04s,,,2022-09-07,2024-05-27,,
Galaxy A04e,,,2022-11-08,2024-05-27,,
Galaxy M21 2021,,,2021-08-06,2023-09-05,2023-09-06,2024-05-27
Galaxy M12,,,2021-02-03,2023-03-07,2023-03-07,2024-05-27
Galaxy M22,,,2021-10-05,2023-11-06,2023-11-07,2024-05-27
Galaxy M32,,,2021-07-07,2023-08-04,2023-08-08,2024-05-27
Galaxy M32 5G,,,2022-04-05,2023-10-03,2023-10-04,2024-05-27
Galaxy M42 5G,,,2021-08-06,2023-06-05,2023-06-07,2024-05-27
Galaxy M52 5G,,,2021-10-05,2023-11-06,2023-11-07,2024-05-27
Galaxy M62,,,2021-08-06,2023-04-04,2023-04-04,2024-05-27
Galaxy M13,,,2022-06-08,2024-05-27,,
Galaxy M23 5G,,,2022-03-08,2024-05-27,,
Galaxy M33 5G,,,2022-04-05,2024-05-27,,
Galaxy M53 5G,,,2022-05-03,2024-05-27,,
Galaxy M04,,,2023-01-04,2024-05-27,,
Galaxy F12,,,2021-08-06,2023-03-07,2023-03-07,2024-05-27
Galaxy F22,,,2021-07-07,2023-08-04,2023-08-08,2024-05-27
Galaxy F42 5G,,,2021-09-07,2023-10-03,2023-10-04,2024-05-27
Galaxy F52 5G,,,2021-06-08,2023-06-29,2023-07-05,2024-05-27
Galaxy F62,,,2021-03-02,2023-04-04,2023-04-04,2024-05-27
Galaxy F13,,,2022-07-09,2024-05-27,,
Galaxy Tab A7 Lite,,,2021-06-08,2023-06-05,2023-06-07,2024-05-27
Galaxy Tab A8,,,2022-01-12,2024-01-31,2024-02-06,2024-05-27
Galaxy Tab Active Pro,,,2019-10-08,2023-11-06,,
Galaxy Tab Active3,,,2020-10-12,2024-05-27,,
Galaxy Tab Active4 Pro,,,2022-09-07,2024-05-27,,
Galaxy Tab S6 Lite,,,2020-05-25,2024-05-27,,
Galaxy Tab S7,,,2020-09-14,2024-05-27,,
Galaxy Tab S7 FE,,,2021-06-08,2023-06-29,2023-07-05,2024-05-27
Galaxy Tab S8,,,2022-03-08,2024-05-27,,
Galaxy Tab S8+,,,2022-03-08,2024-05-27,,
Galaxy Tab S8 Ultra,,,2022-03-08,2024-05-27,,
Galaxy Fold,2019-10-08,2022-11-04,2019-10-08,2023-11-06,,
Galaxy Fold 5G,2020-12-10,2022-11-04,2022-11-08,2023-11-06,,
W22 5G,,,2022-04-05,2023-11-06,2023-11-07,2024-05-27
Enterprise Models: Galaxy A50,2021-02-03,2022-04-03,2022-04-05,2023-04-04,,
Galaxy XCover4s,2020-03-03,2022-07-30,2020-03-03,2023-04-04,,
Galaxy Xcover FieldPro,2021-02-03,2022-11-29,2022-12-06,2023-08-04,,
Galaxy A8s,,,2019-01-19,2021-01-26,2021-03-11,2023-03-02
Galaxy A10,,,2019-04-05,2021-05-02,2021-05-04,2023-04-28
Galaxy A10e,,,2019-08-07,2021-08-02,2021-08-06,2023-08-04
Galaxy A10s,,,2019-10-01,2021-09-05,2021-09-07,2023-09-05
Galaxy A20,,,2019-04-05,2021-05-02,2021-05-04,2023-04-28
Galaxy A20e,,,2019-05-20,2021-05-25,2021-06-08,2023-06-05
Galaxy A20s,,,2019-10-08,2021-11-01,2021-11-02,2023-11-06
Galaxy A30,,,2019-04-05,2021-04-01,2021-04-06,2023-04-04
Galaxy A30s,,,2019-10-01,2021-11-01,2021-11-02,2023-11-06
Galaxy A50s,,,2019-10-01,2021-11-01,2021-11-02,2023-11-06
Galaxy A60,,,2019-05-20,2021-05-25,2021-06-08,2023-06-05
Galaxy A70,,,2019-04-05,2021-05-25,2021-06-08,2023-06-05
Galaxy A70s,,,2019-10-08,2021-11-01,2021-11-02,2023-11-06
Galaxy A80,,,2019-06-16,2021-08-02,2021-08-06,2023-08-04
Galaxy A90 5G,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03
Galaxy A01,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31
Galaxy A01 Core,,,2020-08-06,2022-09-06,2022-09-07,2023-03-07
Galaxy A11,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04
Galaxy A21,,,2020-07-07,2022-07-30,2022-08-06,2024-05-27
Galaxy A21s,,,2020-06-08,2022-07-04,2022-07-09,2024-05-27
Galaxy A31,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04
Galaxy A41,,,2020-05-25,2022-06-03,2022-06-08,2024-05-27
Galaxy A51,,,2020-03-03,2022-02-08,2022-02-08,2024-01-31
Galaxy A51 5G,,,2020-06-08,2022-06-03,2022-06-08,2024-05-27
Galaxy A71,,,2020-03-03,2022-03-07,2022-03-08,2024-03-01
Galaxy A71 5G,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04
Galaxy A02s,,,2021-01-21,2023-01-03,2023-01-04,2024-05-27
Galaxy A12,,,2020-12-08,2023-01-03,2023-01-04,2024-05-27
Galaxy A42 5G,,,2020-11-04,2023-01-03,2022-12-06,2024-05-27
Galaxy M10,,,2019-04-05,2021-03-01,2021-03-11,2023-03-07
Galaxy M10s,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03
Galaxy M20,,,2019-04-05,2021-03-01,2021-03-11,2023-03-07
Galaxy M30,,,2019-04-05,2021-04-01,2021-04-06,2023-03-07
Galaxy M30s,,,2019-10-01,2021-10-04,2021-10-05,2023-10-03
Galaxy M40,,,2019-08-07,2021-08-02,2021-08-06,2023-08-04
Galaxy M01,,,2020-06-08,2022-06-03,2022-06-08,2024-05-27
Galaxy M11,,,2020-05-25,2022-05-02,2022-05-03,2024-05-04
Galaxy M21,,,2020-04-08,2022-04-03,2022-04-05,2024-03-31
Galaxy M31,,,2020-04-08,2022-04-03,2022-04-05,2024-03-31
Galaxy M31s,,,2020-08-06,2022-09-06,2022-09-07,2024-05-27
Galaxy M51,,,2020-09-14,2022-09-27,2022-10-04,2024-05-27
Galaxy Tab A 8 (2019),,,2019-10-08,2021-08-02,2021-08-06,2023-08-04
Galaxy Tab A 10.1 (2019),,,2019-04-05,2021-05-02,2021-05-04,2023-04-28
Galaxy Tab A with S pen,,,2021-02-03,2021-05-02,2021-05-04,2023-04-28
Galaxy Tab A 8.4 (2020),,,2020-04-08,2022-04-03,2022-04-05,2024-03-31
