device,monthly_start,monthly_end,quarterly_start,quarterly_end,biannual_start,biannual_end,monthly_duration,quarterly_duration,biannual_duration
Galaxy Z Fold2,2020-09-14,2023-10-03,2020-09-14,2024-04-04,,,1114 days,1298 days,
Galaxy Z Fold2 5G,2020-09-14,,2020-09-14,,,,,,
Galaxy Z Fold3 5G,2021-09-07,,,,,,,,
Galaxy Z Fold4,2022-09-07,,,,,,,,
Galaxy Z Flip,2020-03-03,2023-04-04,2020-03-03,2024-03-31,,,1127 days,1489 days,
Galaxy Z Flip 5G,2020-08-06,2023-09-05,2020-08-06,,,,1125 days,,
Galaxy Z Flip3 5G,2021-09-07,,,,,,,,
Galaxy Z Flip4,2022-09-07,,,,,,,,
W23,2022-11-08,,,,,,,,
W23 flip,2022-11-08,,,,,,,,
Galaxy S10 Lite,2020-03-03,2023-03-07,2020-03-03,2024-03-01,,,1099 days,1459 days,
Galaxy S20,2020-03-03,2024-03-31,2020-03-03,,,,1489 days,,
Galaxy S20 5G,2020-03-03,2024-03-31,2020-03-03,,,,1489 days,,
Galaxy S20+,2020-03-03,2024-03-31,2020-03-03,,,,1489 days,,
Galaxy S20+ 5G,2020-03-03,2024-03-31,2020-03-03,,,,1489 days,,
Galaxy S20 Ultra,2020-03-03,2024-03-31,2020-03-03,2024-04-04,,,1489 days,1493 days,
Galaxy S20 Ultra 5G,2020-03-03,2024-03-31,2020-03-03,,,,1489 days,,
Galaxy S20 FE,2020-10-12,,2020-10-12,2024-04-03,,,,1269 days,
Galaxy S20 FE 5G,2020-10-12,,2020-10-12,2024-04-03,,,,1269 days,
Galaxy S21 5G,2021-02-03,,,,,,,,
Galaxy S21+ 5G,2021-02-03,,,,,,,,
Galaxy S21 Ultra 5G,2021-02-03,,,,,,,,
Galaxy S21 FE 5G,2022-02-08,,,,,,,,
Galaxy S22,2022-03-08,,,,,,,,
Galaxy S22+,2022-03-08,,,,,,,,
Galaxy S22 Ultra,2022-03-08,,,,,,,,
Galaxy Note10 Lite,2020-03-03,2023-03-07,2020-03-03,2024-03-01,,,1099 days,1459 days,
Galaxy Note20,2020-09-14,,2020-09-14,2024-04-03,,,,1297 days,
Galaxy Note20 5G,2020-09-14,,2020-09-14,2024-04-03,,,,1297 days,
Galaxy Note20 Ultra,2020-09-14,,2020-09-14,2024-04-03,,,,1297 days,
Galaxy Note20 Ultra 5G,2020-09-14,,2020-09-14,2024-04-03,,,,1297 days,
Enterprise Models: Galaxy A52,2022-04-05,2024-05-04,2024-05-10,,,,760 days,,
Galaxy A52 5G,2021-03-02,2024-04-04,2024-04-03,,,,1129 days,,
Galaxy A52s 5G,2021-09-07,2024-05-04,,,,,970 days,,
Galaxy A53 5G,2022-04-05,,,,,,,,
Galaxy Xcover Pro,2021-02-03,2023-03-07,2023-03-07,,,,762 days,,
Galaxy Xcover5,2021-03-02,,,,,,,,
Galaxy Xcover6 Pro,2022-07-09,,,,,,,,
Galaxy S10,2019-04-05,2022-04-03,2019-04-05,2023-04-04,,,1094 days,1460 days,
Galaxy S10+,2019-04-05,2022-04-03,2019-04-05,2023-04-04,,,1094 days,1460 days,
Galaxy S10e,2019-04-05,2022-04-03,2019-04-05,2023-04-04,,,1094 days,1460 days,
Galaxy S10 5G,2019-08-07,2022-06-03,2019-08-07,2023-06-05,,,1031 days,1398 days,
Galaxy Note10,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,,1073 days,1437 days,
Galaxy Note10 5G,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,,1073 days,1437 days,
Galaxy Note10+,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,,1073 days,1437 days,
Galaxy Note10+ 5G,2019-09-29,2022-09-06,2019-09-29,2023-09-05,,,1073 days,1437 days,
Galaxy A40,,,2019-04-05,2023-04-28,,,,1484 days,
Galaxy A02,,,2021-02-03,2023-03-07,2023-03-07,2024-03-01,,762 days,360 days
Galaxy A22,,,2021-07-07,2023-08-04,2023-08-08,,,758 days,
Galaxy A22e 5G,,,2022-01-12,,,,,,
Galaxy A22 5G,,,2021-07-07,2023-06-29,2023-07-05,,,722 days,
Galaxy A32,,,2021-03-02,,,,,,
Galaxy A32 5G,,,2021-04-06,,,,,,
Galaxy A72,,,2021-04-06,2023-04-04,2023-04-04,,,728 days,
Galaxy A82 5G,,,2021-05-04,2023-04-28,2023-05-04,,,724 days,
Galaxy A03,,,2021-12-13,2024-01-31,2024-02-06,,,779 days,
Galaxy A03s,,,2021-09-07,2023-10-03,2023-10-04,,,756 days,
Galaxy A03 core,,,2021-12-13,2024-01-02,2024-01-04,,,750 days,
Galaxy A13,,,2022-04-05,,,,,,
Galaxy A13 5G,,,2021-12-13,,,,,,
Galaxy A23,,,2022-04-05,,,,,,
Galaxy A23 5G,,,2022-09-07,,,,,,
Galaxy A33 5G,,,2022-04-05,,,,,,
Galaxy A73 5G,,,2022-04-05,,,,,,
Galaxy A04,,,2022-09-07,,,,,,
Galaxy A04s,,,2022-09-07,,,,,,
Galaxy A04e,,,2022-11-08,,,,,,
Galaxy M21 2021,,,2021-08-06,2023-09-05,2023-09-06,,,760 days,
