CVE,Year,Month,Severity,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
CVE-2017-17772,2019,April,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11817,2019,March,Critical,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-11817,2019,March,Critical,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2018-13917,2019,March,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-17768,2019,September,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2019-9460,2020,June,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,None,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2019-9460,2020,June,Moderate,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,None,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2021-1978,2021,August,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-27666,2021,October,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-39795,2022,April,High,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",None,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2021-39617,2022,December,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,None,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2021-39795,2022,December,High,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",None,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2022-20444,2022,December,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,None,2022-12-13T16:15:15.357,2023-11-07T03:42:26.580,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2022-2209,2022,November,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,None,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2021-39673,2022,October,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2022-25704,2022,September,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2022-20463,2023,April,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,None,2022-11-08T22:15:11.830,2023-11-07T03:42:26.920,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-21270,2023,August,High,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2021-39617,2023,May,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,None,2022-12-13T16:15:14.507,2023-11-07T03:37:41.957,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2022-20444,2023,May,High,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none.,None,2022-12-13T16:15:15.357,2023-11-07T03:42:26.580,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40113,2023,November,Critical,,"In multiple locations, there is a possible way for apps to access cross-user message data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.597,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40106,2023,November,High,,"In sanitizeSbn of NotificationManagerService.java, there is a possible way to launch an activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.137,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40107,2023,November,High,,"In ARTPWriter of ARTPWriter.cpp, there is a possible use after free due to uninitialized data. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",None,2024-02-15T23:15:08.197,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2023-40109,2023,November,High,,"In createFromParcel of UsbConfiguration.java, there is a possible background activity launch (BAL) due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",None,2024-02-15T23:15:08.260,2024-02-16T13:37:55.033,nan,nan,nan,nan,nan,nan,nan,nan,,nan
