ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date,earliest_version,latest_version
28,CVE-2023-49667,2024,2,2/5/24,,"A-314033392,U-2455269",,,High,,Kernel,,CVE ID Not Found,,,,,,,,,,,,,,,,2024-02-01,,
29,CVE-2023-49668,2024,2,2/5/24,,"A-314032846,U-2455269",,,High,,Kernel,,CVE ID Not Found,,,,,,,,,,,,,,,,2024-02-01,,
127,CVE-2023-21165,2024,1,1/5/24,,A-292001469,,,High,,PowerVR-GPU,,"In DevmemIntUnmapPMR of devicemem_server.c, there is a possible arbitrary code execution due to a use after free. This could lead to local escalation of privilege in the kernel with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.007,2024-02-16T20:15:47.257,,,,,,,,,,,,,2024-01-01,,
60,CVE-2023-48424,2024,3,3/5/24,,A-315373062,,,High,,Bootloader,,U-Boot shell vulnerability resulting in Privilege escalation in a production device,,2023-12-11T06:15:42.767,2023-12-13T21:16:23.030,NVD-CWE-noinfo,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,,2024-03-01,,
61,CVE-2023-48425,2024,3,3/5/24,,A-319132171,,,High,,Bootloader,,U-Boot vulnerability resulting in persistent Code Execution ,,2023-12-11T06:15:42.813,2023-12-13T21:16:31.457,NVD-CWE-noinfo,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,,2024-03-01,,
126,CVE-2023-5427,2024,1,1/5/24,,A-308188337,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Bifrost GPU Kernel Driver, Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU processing operations to gain access to already freed memory.This issue affects Bifrost GPU Kernel Driver: from r44p0 through r45p0; Valhall GPU Kernel Driver: from r44p0 through r45p0; Arm 5th Gen GPU Architecture Kernel Driver: from r44p0 through r45p0.

",,2023-12-01T11:15:07.980,2023-12-06T20:56:58.567,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2024-01-01,,
126,CVE-2023-5427,2024,1,1/5/24,,A-308188337,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Bifrost GPU Kernel Driver, Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU processing operations to gain access to already freed memory.This issue affects Bifrost GPU Kernel Driver: from r44p0 through r45p0; Valhall GPU Kernel Driver: from r44p0 through r45p0; Arm 5th Gen GPU Architecture Kernel Driver: from r44p0 through r45p0.

",,2023-12-01T11:15:07.980,2023-12-06T20:56:58.567,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2024-01-01,,
130,CVE-2023-48340,2024,1,1/5/24,,"A-311290655,U-2228010",,,High,,Android,,"In video decoder, there is a possible out of bounds write due to improper input validation. This could lead to local denial of service with no additional execution privileges needed",,2024-01-18T03:15:57.287,2024-01-19T18:50:31.783,CWE-787,cvssMetricV31,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,5.5,MEDIUM,Out-of-bounds Write,2024-01-01,,
131,CVE-2023-48341,2024,1,1/5/24,,"A-311288752,U-2227052",,,High,,Android,,"In video decoder, there is a possible out of bounds read due to improper input validation. This could lead to local denial of service with no additional execution privileges needed",,2024-01-18T03:15:57.333,2024-01-19T18:50:57.973,CWE-125,cvssMetricV31,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH,5.5,MEDIUM,Out-of-bounds Read,2024-01-01,,
132,CVE-2023-48342,2024,1,1/5/24,,"A-311288747,U-2227689",,,High,,Android,,"In media service, there is a possible out of bounds write due to a missing bounds check. This could lead to local denial of service with System execution privileges needed",,2024-01-18T03:15:57.380,2024-01-19T18:51:19.113,CWE-787,cvssMetricV31,LOCAL,LOW,HIGH,NONE,NONE,NONE,HIGH,4.4,MEDIUM,Out-of-bounds Write,2024-01-01,,
