CVE,Year,Month,Date_vivo,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity,vul_true_asb,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2017-17772,2019,04,2019-04-01,1059,2019,04,4/5/19,,"A-72957385,,QC-CR#2153003","https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=ac6f2c30aceb7383d215d756192a81024513beaa,https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-3.0/commit/?id=66b2f6a6f21a7c827f4e1dbd0369065a470dd168",,High,,WLAN HOST,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-04-01
CVE-2018-11817,2019,03,2019-03-01,1353,2019,03,3/5/19,,"A-114041192,,QC-CR#2241830",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=d996b26efee64c7e499daf4f8b4ac217823327a5,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,2019,03,2019-03-01,1354,2019,03,3/5/19,,"A-114041747,,QC-CR#2166542",https://source.codeaurora.org/quic/la/device/qcom/common/commit/?id=a183f890dc4c9276933f4db490c32efcdae87561,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,2019,03,2019-03-01,1353,2019,03,3/5/19,,"A-114041192,,QC-CR#2241830",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=d996b26efee64c7e499daf4f8b4ac217823327a5,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-11817,2019,03,2019-03-01,1354,2019,03,3/5/19,,"A-114041747,,QC-CR#2166542",https://source.codeaurora.org/quic/la/device/qcom/common/commit/?id=a183f890dc4c9276933f4db490c32efcdae87561,,Critical,,DSP_Services,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2018-13917,2019,03,2019-03-01,1356,2019,03,3/5/19,,"A-120487091,,QC-CR#2251019",https://source.codeaurora.org/quic/la/kernel/msm-4.9/commit/?id=29e224b5eb8981010bf18d5b18185ab37a0aeb0e,,High,,WIN NSS Host,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-03-01
CVE-2017-17768,2019,09,2019-09-01,1289,2019,09,9/5/19,,"A-67748905,,QC-CR#2127172",https://source.codeaurora.org/quic/la/kernel/lk/commit/?id=0d06ad00c8d6630cd90016226c7d68eedb5a1132,,High,,LK bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-09-01
CVE-2019-9460,2020,06,2020-06-01,4714,2020,06,6/5/20,,A-62535446,https://android.googlesource.com/platform/hardware/interfaces/+/c88c624e2e7f5f683d6381a8d5c96e58b0a85cb7,EoP,High,10,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,2020,06,2020-06-01,4721,2020,06,6/5/20,,"A-66876469,QC-CR#2207338",,,Moderate,,Display,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,2020,06,2020-06-01,4714,2020,06,6/5/20,,A-62535446,https://android.googlesource.com/platform/hardware/interfaces/+/c88c624e2e7f5f683d6381a8d5c96e58b0a85cb7,EoP,High,10,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2019-9460,2020,06,2020-06-01,4721,2020,06,6/5/20,,"A-66876469,QC-CR#2207338",,,Moderate,,Display,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. It was intended to be published earlier but will be made public later instead. Notes: none,,2019-09-27T19:15:29.500,2023-11-07T03:13:40.037,,,,,,,,,,,,,2020-06-01
CVE-2021-1978,2021,08,2021-08-01,4400,2021,08,8/5/21,,"A-187074565,,QC-CR#2859124","https://source.codeaurora.org/quic/la/platform/external/wpa_supplicant_8/commit?id=ddffe981e88146adf777ce64c1c2dac2e1dad05e"" rel=""noreferrer",,High,,WLAN,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-08-01
CVE-2021-27666,2021,10,2021-10-01,4419,2021,10,10/5/21,,A-180401789,,ID,High,,Modem,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-10-01
CVE-2021-39795,2022,04,2022-04-01,3769,2022,04,4/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-04-01
CVE-2021-39795,2022,04,2022-04-01,3956,2022,12,12/1/22,,A-201667614,"https://android.googlesource.com/platform/packages/providers/MediaProvider/+/bb4ec053ea16931e827f30c7b697cb35185a32be"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
CVE-2021-39795,2022,04,2022-04-01,3990,2022,12,12/1/22,,,,,,,MediaProvider,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Notes: Pulled from Android ASB#2022-04 publication (https://source.android.com/security/bulletin/2022-04-01) due to a functional regression. We will re-release this CVE at a future date, in a future publication that is currently TB",,2022-04-12T17:15:08.123,2023-11-07T03:37:43.327,,,,,,,,,,,,,2022-12-01
