timestamp,device,period
2023-06-07,iQOO 11,monthly
2023-06-07,"iQOO 9, iQOO 9 SE, iQOO 9 Pro, iQOO 9T",monthly
2023-06-07,"iQOO 7, iQOO 7 Legend",monthly
2023-06-07,iQOO Neo6,monthly
2023-06-07,iQOO Neo7,monthly
2023-06-07,"iQOO Z6, iQOO Z6 5G, iQOO Z6 Lite 5G",monthly
2023-06-07,iQOO Z5,monthly
2023-06-07,iQOO Z3 5G,monthly
2023-06-07,"X90, X90 Pro",monthly
2023-06-07,"X80, X80 Pro, X80 Lite 5G",monthly
2023-06-07,"X70, X70t Pro, X70 Pro+",monthly
2023-06-07,"X60, X60 Pro, X60 Pro+",monthly
2023-06-07,"V27e, V27 pro",monthly
2023-06-07,"V25, V25e, V25 Pro",monthly
2023-06-07,"V23 5G, V23e 5G, V23 Pro",monthly
2023-06-07,"V21, V21 5G, V21e, V21e 5G",monthly
2023-06-07,"V20, V20 2021",monthly
2023-06-07,"T1, T1 5G, T1x, T1 Pro 5G",monthly
2023-06-07,Y01A,monthly
2023-06-07,"Y02, Y02A, Y02s",monthly
2023-06-07,Y15C,monthly
2023-06-07,Y16,monthly
2023-06-07,"Y21, Y21s, Y21T",monthly
2023-06-07,"Y22, Y22s",monthly
2023-06-07,Y30 5G,monthly
2023-06-07,"Y33s, Y33T",monthly
2023-06-07,Y35,monthly
2023-06-07,"Y55, Y55 5G",monthly
2023-06-07,Y56 5G,monthly
2023-06-07,"Y100, Y100A",monthly
2023-06-07,iQOO 3,quarterly
2023-06-07,X50 Pro,quarterly
2023-06-07,"V20 Pro, V20 SE",quarterly
2023-06-07,S1 Prime,quarterly
2023-06-07,Y01,quarterly
2023-06-07,Y3s,quarterly
2023-06-07,Y11s,quarterly
2023-06-07,"Y15A, Y15s",quarterly
2023-06-07,"Y12A, Y12D, Y12G, Y12s, Y12s 2021",quarterly
2023-06-07,"Y20, Y20A, Y20A 2021, Y20i, Y20G, Y20G 2021, Y20 2021, Y20s, Y20s [G], Y20T",quarterly
2023-06-07,"Y21A, Y21e",quarterly
2023-06-07,Y30,quarterly
2023-06-07,Y31,quarterly
2023-06-07,Y33,quarterly
2023-06-07,"Y51, Y51s",quarterly
2023-06-07,Y52 5G,quarterly
2023-06-07,Y53s,quarterly
2023-06-07,Y55 5G,quarterly
2023-06-07,Y70,quarterly
2023-06-07,Y72 5G,quarterly
2023-06-07,Y73,quarterly
2023-06-07,Y76 5G,quarterly
2023-06-07,NEX,regular
2023-06-07,NEX 3,regular
2023-06-07,NEX Dual Display,regular
2023-06-07,"X50, X50 Lite, vivo X50e",regular
2023-06-07,X21,regular
2023-06-07,V19,regular
2023-06-07,"V17, V17 Pro",regular
2023-06-07,"V15, V15Pro",regular
2023-06-07,"V11, V11i, V11Pro",regular
2023-06-07,"V9, V9 6GB, V9 Pro, V9 Youth",regular
2023-06-07,"S1, S1 Pro",regular
2023-06-07,Z1x,regular
2023-06-07,Z1Pro,regular
2023-06-07,U10,regular
2023-06-07,U20,regular
2023-06-07,Y1s,regular
2023-06-07,Y11,regular
2023-06-07,Y12,regular
2023-06-07,Y15,regular
2023-06-07,Y17,regular
2023-06-07,Y19,regular
2023-06-07,Y50,regular
