device,monthly_start,monthly_end,regular_start,regular_end,quarterly_start,quarterly_end,monthly_duration,quarterly_duration,regular_duration
iQOO 9,2022-10-05,2024-05-28,,,,,601 days,,
iQOO 9 SE,2022-10-05,2024-05-28,,,,,601 days,,
iQOO 9 Pro,2022-10-05,2024-05-28,,,,,601 days,,
iQOO 9T,2022-10-05,2024-05-28,,,,,601 days,,
iQOO 7,2022-10-05,2024-05-28,,,,,601 days,,
iQOO 7 Legend,2022-10-05,2024-05-28,,,,,601 days,,
iQOO Neo6,2022-10-05,2024-05-28,,,,,601 days,,
iQOO Z6,2022-10-05,2024-05-28,,,,,601 days,,
iQOO Z6 5G,2022-10-05,2024-05-28,,,,,601 days,,
iQOO Z6 Lite 5G,2022-10-05,2024-05-28,,,,,601 days,,
iQOO Z5,2022-10-05,2024-05-28,,,,,601 days,,
iQOO Z3 5G,2022-10-05,2024-05-28,,,,,601 days,,
X80,2022-10-05,2024-05-28,,,,,601 days,,
X80 Pro,2022-10-05,2024-05-28,,,,,601 days,,
X80 Lite 5G,2022-10-05,2024-05-28,,,,,601 days,,
X70,2022-10-05,2024-05-28,,,,,601 days,,
X70t Pro,2022-10-05,2024-05-28,,,,,601 days,,
X70 Pro+,2022-10-05,2024-05-28,,,,,601 days,,
X60,2022-10-05,2024-05-28,,,,,601 days,,
X60 Pro,2022-10-05,2024-05-28,,,,,601 days,,
X60 Pro+,2022-10-05,2024-05-28,,,,,601 days,,
V25,2022-10-05,2024-05-28,,,,,601 days,,
V25e,2022-10-05,2024-05-28,,,,,601 days,,
V25 Pro,2022-10-05,2024-05-28,,,,,601 days,,
V23 5G,2022-10-05,2024-05-28,,,,,601 days,,
V23e 5G,2022-10-05,2024-05-28,,,,,601 days,,
V23 Pro,2022-10-05,2024-05-28,,,,,601 days,,
V21,2022-10-05,2023-11-29,2024-02-23,2024-05-28,,,420 days,,95 days
V21 5G,2022-10-05,2024-05-28,,,,,601 days,,
V21e,2022-10-05,2023-11-29,2024-02-23,2024-05-28,,,420 days,,95 days
V21e 5G,2022-10-05,2024-05-28,,,,,601 days,,
V20,2022-10-05,2023-11-29,2024-02-23,2024-05-28,,,420 days,,95 days
V20 2021,2022-10-05,2023-11-29,2024-02-23,2024-05-28,,,420 days,,95 days
T1,2022-10-05,2024-05-28,,,,,601 days,,
T1 5G,2022-10-05,2024-05-28,,,,,601 days,,
T1x,2022-10-05,2024-05-28,,,,,601 days,,
T1 Pro 5G,2022-10-05,2024-05-28,,,,,601 days,,
Y01,2022-10-05,2022-10-05,,,2022-12-10,2024-05-28,0 days,535 days,
Y01A,2022-10-05,2023-06-07,,,2023-11-29,2024-05-28,245 days,181 days,
Y02,2022-10-05,2023-06-07,,,2023-11-29,2024-05-28,245 days,181 days,
