CVE,Year,Month,Severity
CVE-2023-21651,2024,January,Critical
CVE-2023-33025,2024,January,Critical
CVE-2023-33036,2024,January,Critical
CVE-2023-21245,2024,January,High
CVE-2024-0015,2024,January,High
CVE-2024-0018,2024,January,High
CVE-2024-0023,2024,January,High
CVE-2024-0019,2024,January,High
CVE-2024-0021,2024,January,High
CVE-2023-40085,2024,January,High
CVE-2024-0016,2024,January,High
CVE-2024-0017,2024,January,High
CVE-2024-0020,2024,January,High
CVE-2023-4295,2024,January,High
CVE-2023-4295,2024,January,High
CVE-2023-32874,2024,January,High
CVE-2023-32872,2024,January,High
CVE-2023-33094,2024,January,High
CVE-2023-33108,2024,January,High
CVE-2023-33110,2024,January,High
CVE-2023-33113,2024,January,High
CVE-2023-33114,2024,January,High
CVE-2023-33117,2024,January,High
CVE-2023-33120,2024,January,High
CVE-2023-43514,2024,January,High
CVE-2022-33275,2024,January,High
CVE-2023-28544,2024,January,High
CVE-2023-28548,2024,January,High
CVE-2023-28557,2024,January,High
CVE-2023-28558,2024,January,High
CVE-2023-28559,2024,January,High
CVE-2023-28560,2024,January,High
CVE-2023-28564,2024,January,High
CVE-2023-28565,2024,January,High
CVE-2023-28567,2024,January,High
CVE-2023-33014,2024,January,High
CVE-2023-33030,2024,January,High
CVE-2023-33032,2024,January,High
CVE-2023-33033,2024,January,High
CVE-2023-33037,2024,January,High
CVE-2023-33040,2024,January,High
CVE-2023-33043,2024,January,High
CVE-2023-33044,2024,January,High
CVE-2023-33062,2024,January,High
CVE-2023-33109,2024,January,High
CVE-2023-33112,2024,January,High
CVE-2023-43511,2024,January,High
CVE-2024-0031,2024,February,Critical
CVE-2024-0029,2024,February,High
CVE-2024-0032,2024,February,High
CVE-2024-0034,2024,February,High
CVE-2024-0036,2024,February,High
CVE-2024-0038,2024,February,High
CVE-2024-0041,2024,February,High
CVE-2023-40122,2024,February,High
CVE-2024-0037,2024,February,High
CVE-2024-0040,2024,February,High
CVE-2024-0014,2024,February,High
CVE-2024-0033,2024,February,High
CVE-2024-0035,2024,February,High
CVE-2023-40093,2024,February,High
CVE-2024-0030,2024,February,High
CVE-2023-5091,2024,February,High
CVE-2023-5249,2024,February,High
CVE-2023-5643,2024,February,High
CVE-2024-20011,2024,February,High
CVE-2024-20006,2024,February,High
CVE-2024-20007,2024,February,High
CVE-2024-20009,2024,February,High
CVE-2024-20010,2024,February,High
CVE-2023-32841,2024,February,High
CVE-2023-32842,2024,February,High
CVE-2023-32843,2024,February,High
CVE-2024-20003,2024,February,High
CVE-2023-43513,2024,February,High
CVE-2023-43516,2024,February,High
CVE-2023-43520,2024,February,High
CVE-2023-43534,2024,February,High
CVE-2023-33046,2024,February,High
CVE-2023-33049,2024,February,High
CVE-2023-33057,2024,February,High
CVE-2023-33058,2024,February,High
CVE-2023-33060,2024,February,High
CVE-2023-33072,2024,February,High
CVE-2023-33076,2024,February,High
CVE-2023-43518,2024,February,High
CVE-2023-43519,2024,February,High
CVE-2023-43522,2024,February,High
CVE-2023-43523,2024,February,High
CVE-2023-43533,2024,February,High
CVE-2023-43536,2024,February,High
CVE-2024-0039,2024,March,Critical
CVE-2024-23717,2024,March,Critical
CVE-2023-28578,2024,March,Critical
CVE-2024-0044,2024,March,High
CVE-2024-0046,2024,March,High
CVE-2024-0048,2024,March,High
CVE-2024-0049,2024,March,High
CVE-2024-0050,2024,March,High
CVE-2024-0051,2024,March,High
CVE-2024-0053,2024,March,High
CVE-2024-0047,2024,March,High
CVE-2023-40081,2024,March,High
CVE-2024-0045,2024,March,High
CVE-2024-0052,2024,March,High
CVE-2023-6143,2024,March,High
CVE-2023-6241,2024,March,High
CVE-2024-20005,2024,March,High
CVE-2024-20022,2024,March,High
CVE-2024-20023,2024,March,High
CVE-2024-20024,2024,March,High
CVE-2024-20025,2024,March,High
CVE-2024-20027,2024,March,High
CVE-2024-20028,2024,March,High
CVE-2024-20020,2024,March,High
CVE-2024-20026,2024,March,High
CVE-2023-43546,2024,March,High
CVE-2023-43547,2024,March,High
CVE-2023-43550,2024,March,High
CVE-2023-43552,2024,March,High
CVE-2023-43553,2024,March,High
CVE-2023-33042,2024,March,High
CVE-2023-33066,2024,March,High
CVE-2023-33105,2024,March,High
CVE-2023-43539,2024,March,High
CVE-2023-43548,2024,March,High
CVE-2023-43549,2024,March,High
CVE-2023-28582,2024,April,Critical
CVE-2024-0022,2024,April,High
CVE-2024-23710,2024,April,High
CVE-2024-23712,2024,April,High
CVE-2024-23713,2024,April,High
CVE-2023-32890,2024,April,High
CVE-2024-20039,2024,April,High
CVE-2024-20040,2024,April,High
CVE-2023-28547,2024,April,High
CVE-2023-33023,2024,April,High
CVE-2023-33084,2024,April,High
CVE-2023-33086,2024,April,High
CVE-2023-33095,2024,April,High
CVE-2023-33096,2024,April,High
CVE-2023-33099,2024,April,High
CVE-2023-33100,2024,April,High
CVE-2023-33101,2024,April,High
CVE-2023-33103,2024,April,High
CVE-2023-33104,2024,April,High
CVE-2023-33115,2024,April,High
CVE-2024-21463,2024,April,High
CVE-2024-21468,2024,April,High
CVE-2024-21472,2024,April,High
CVE-2023-21267,2024,April,High
CVE-2024-0026,2024,April,High
CVE-2024-0027,2024,April,High
CVE-2024-23704,2024,April,High
CVE-2024-0042,2024,April,High
CVE-2022-42719,2023,January,Critical
CVE-2022-42720,2023,January,Critical
CVE-2022-42721,2023,January,Critical
CVE-2022-41674,2023,January,Critical
CVE-2022-22088,2023,January,Critical
CVE-2021-35097,2023,January,Critical
CVE-2021-35113,2023,January,Critical
CVE-2021-35134,2023,January,Critical
CVE-2022-20456,2023,January,High
CVE-2022-20489,2023,January,High
CVE-2022-20490,2023,January,High
CVE-2022-20492,2023,January,High
CVE-2022-20493,2023,January,High
CVE-2023-20912,2023,January,High
CVE-2023-20916,2023,January,High
CVE-2023-20919,2023,January,High
CVE-2023-20920,2023,January,High
CVE-2023-20921,2023,January,High
CVE-2022-20494,2023,January,High
CVE-2023-20922,2023,January,High
CVE-2022-20461,2023,January,High
CVE-2023-20904,2023,January,High
CVE-2023-20905,2023,January,High
CVE-2023-20913,2023,January,High
CVE-2023-20915,2023,January,High
CVE-2022-2959,2023,January,High
CVE-2023-20928,2023,January,High
CVE-2022-32635,2023,January,High
CVE-2022-32636,2023,January,High
CVE-2022-32637,2023,January,High
CVE-2022-33255,2023,January,High
CVE-2022-23960,2023,January,High
CVE-2022-25725,2023,January,High
CVE-2022-25746,2023,January,High
CVE-2022-33252,2023,January,High
CVE-2022-33253,2023,January,High
CVE-2022-33266,2023,January,High
CVE-2022-33274,2023,January,High
CVE-2022-33276,2023,January,High
CVE-2022-33283,2023,January,High
CVE-2022-33284,2023,January,High
CVE-2022-33285,2023,January,High
CVE-2022-33286,2023,January,High
CVE-2022-33243,2023,February,Critical
CVE-2022-33280,2023,February,Critical
CVE-2022-33232,2023,February,Critical
CVE-2022-40514,2023,February,Critical
CVE-2020-27059,2023,February,High
CVE-2022-20551,2023,February,High
CVE-2023-20934,2023,February,High
CVE-2023-20943,2023,February,High
CVE-2023-20944,2023,February,High
CVE-2023-20948,2023,February,High
