firmware_name,spl,post_version,post_build,android_version
PD2185F_EX_A_13.1.11.21.W20.V000L1-update-full_1694056817.zip,2023-08-01,PD2185F_EX_A_13.1.11.21.W20.V000L1,vivo/V2145/V2145:13/TP1A.220624.014/compiler08211620:user/release-keys,Android 13
PD2074F_EX_A_3.16.4-update-full_1641399683.zip,2021-12-01,PD2074F_EX_A_3.16.4,vivo/2044/2044:11/RP1A.200720.012/compiler1217180211:user/release-keys,Android 11
PD2163F_EX_A_3.15.4-update-full_1670467774.zip,2022-11-01,PD2163F_EX_A_3.15.4,vivo/2132i/2132:12/SP1A.210812.003/compiler11031742:user/release-keys,Android 12
PD1831F_EX_A_6.10.12-update-full_1614239035.zip,2021-01-01,PD1831F_EX_A_6.10.12,vivo/1819/1819:10/QP1A.190711.020/compiler01131705:user/release-keys,Android 10
PD2150F_EX_A_1.13.8-update-full_1648090546.zip,2022-03-01,PD2150F_EX_A_1.13.8,vivo/2116/2116:11/RP1A.200720.012/compiler0316193807:user/release-keys,Android 11
PD2332F_EX_A_14.0.8.31.W20.V000L1-update-full_1709526727.zip,2024-02-01,PD2332F_EX_A_14.0.8.31.W20.V000L1,vivo/V2319/V2319:14/UP1A.231005.007/compiler02291849:user/release-keys,Android 14
PD2183F_EX_A_12.0.13.10.W20.V000L1-update-full_1670398156 (1).zip,2022-11-01,PD2183F_EX_A_12.0.13.10.W20.V000L1,vivo/V2144/V2144:12/SP1A.210812.003/compiler11262048:user/release-keys,Android 12
PD2228F_EX_A_12.0.8.6.W30.V000L1-update-full_1669018636.zip,2022-11-01,PD2228F_EX_A_12.0.8.6.W30.V000L1,vivo/V2206/V2206:12/SP1A.210812.003/compiler11091339:user/release-keys,Android 12
PD2147F_EX_A_6.19.1-update-full_1667987506.zip,2022-10-01,PD2147F_EX_A_6.19.1,vivo/2109/2109:12/SP1A.210812.003/compiler10102108:user/release-keys,Android 12
PD2215F_EX_A_12.0.6.8.W30.V000L1-update-full_1661949155.zip,2022-08-01,PD2215F_EX_A_12.0.6.8.W30.V000L1,vivo/V2202/V2202:12/SP1A.210812.003/compiler08292303:user/release-keys,Android 12
PD2216F_EX_A_12.0.10.7.W30.V000L1-update-full_1670902589.zip,2022-11-01,PD2216F_EX_A_12.0.10.7.W30.V000L1,vivo/V2204/V2204:12/SP1A.210812.003/compiler11281624:user/release-keys,Android 12
PD2201F_EX_A_12.0.11.0.W20.V000L1-update-full_1661702631.zip,2022-08-01,PD2201F_EX_A_12.0.11.0.W20.V000L1,vivo/2154/V2154:12/SP1A.210812.003/compiler08121637:user/release-keys,Android 12
PD2214F_EX_A_12.0.7.10.W20.V000L1-update-full_1670402800.zip,2022-11-01,PD2214F_EX_A_12.0.7.10.W20.V000L1,vivo/V2201/V2201:12/SP1A.210812.003/compiler11262008:user/release-keys,Android 12
PD2204F_EX_A_12.0.8.22.W30.V000L1-update-full_1669258657.zip,2022-11-01,PD2204F_EX_A_12.0.8.22.W30.V000L1,vivo/V2158/V2158:12/SP1A.210812.003/compiler11141847:user/release-keys,Android 12
PD2242F_EX_A_13.1.15.1.W30.V000L1-update-full_1693383848.zip,2023-08-01,PD2242F_EX_A_13.1.15.1.W30.V000L1,vivo/V2219/V2219:13/TP1A.220624.014/compiler08212224:user/release-keys,Android 13
PD2156F_EX_A_36.10.55-update-full_1672968655.zip,2022-11-01,PD2156F_EX_A_36.10.55,vivo/2124N/2124:12/SP1A.210812.003/compiler11211917:user/release-keys,Android 12
PD2103F_EX_A_3.7.16-update-full_1652774510.zip,2022-04-01,PD2103F_EX_A_3.7.16,vivo/2058/2058:11/RP1A.200720.012/compiler0419104730:user/release-keys,Android 11
PD2138F_EX_A_36.22.2-update-full_1675837575.zip,2023-01-01,PD2138F_EX_A_36.22.2,vivo/2110/2110:12/SP1A.210812.003/compiler01130002:user/release-keys,Android 12
PD2185F_EX_A_12.0.14.0.W30.V000L1-update-full_1667358425.zip,2022-10-01,PD2185F_EX_A_12.0.14.0.W30.V000L1,vivo/V2145/V2145:12/SP1A.210812.003/compiler10180059:user/release-keys,Android 12
PD2083F_EX_A_6.8.6-update-full_1647241792.zip,2022-02-01,PD2083F_EX_A_6.8.6,vivo/2050/2050:12/SP1A.210812.003/compiler03041524:user/release-keys,Android 12
PD2039F_EX_A_6.18.1-update-full_1649765560.zip,2022-03-01,PD2039F_EX_A_6.18.1,vivo/2025N/2025:12/SP1A.210812.003/compiler03111932:user/release-keys,Android 12
PD2167F_EX_A_13.1.14.0.W30.V000L1-update-full_1672817040.zip,2022-12-01,PD2167F_EX_A_13.1.14.0.W30.V000L1,vivo/2130/2130:13/TP1A.220624.014/compiler12091527:user/release-keys,Android 13
PD2139F_EX_A_36.19.7-update-full_1667999947.zip,2022-09-01,PD2139F_EX_A_36.19.7,vivo/2111/2111:12/SP1A.210812.003/compiler09142114:user/release-keys,Android 12
PD2034F_EX_A_1.9.25-update-full_1654683572.zip,2022-05-01,PD2034F_EX_A_1.9.25,vivo/2027N/2027:10/QP1A.190711.020/compiler05091549:user/release-keys,Android 10
PD2034EF_EX_A_38.16.8-update-full_1669253420.zip,2022-11-01,PD2034EF_EX_A_38.16.8,vivo/2027N_EEA/2027:12/SP1A.210812.003/compiler11031732:user/release-keys,Android 12
PD2083F_EX_A_6.8.14-update-full_1654739047.zip,2022-05-01,PD2083F_EX_A_6.8.14,vivo/2050/2050:12/SP1A.210812.003/compiler05070001:user/release-keys,Android 12
PD2139F_EX_A_1.6.3-update-full_1656383292.zip,2022-06-01,PD2139F_EX_A_1.6.3,vivo/2111/2111:11/RP1A.200720.012/compiler0615153303:user/release-keys,Android 11
PD2167F_EX_A_12.0.13.17.W20.V000L1-update-full_1655128881.zip,2022-05-01,PD2167F_EX_A_12.0.13.17.W20.V000L1,vivo/2130/2130:12/SP1A.210812.003/compiler05202027:user/release-keys,Android 12
PD1930F_EX_A_1.18.1-update-full_1614237885.zip,2021-02-01,PD1930F_EX_A_1.18.1,vivo/1906/1906:9/PKQ1.190616.001/compiler02201901:user/release-keys,Android 9 Pie
PD2059F_EX_A_36.7.14-update-full_1669343463.zip,2022-11-01,PD2059F_EX_A_36.7.14,vivo/2046/2046:12/SP1A.210812.003/compiler11041608:user/release-keys,Android 12
PD2228F_EX_A_12.0.7.20.W30.V000L1-update-full_1665285703.zip,2022-09-01,PD2228F_EX_A_12.0.7.20.W30.V000L1,vivo/V2206/V2206:12/SP1A.210812.003/compiler09262141:user/release-keys,Android 12
PD2145F_EX_A_38.4.2-update-full_1672892640.zip,2022-12-01,PD2145F_EX_A_38.4.2,vivo/2114i/2114:13/TP1A.220624.014/compiler12161134:user/release-keys,Android 13
PD2216F_EX_A_12.0.7.40.W20.V000L1-update-full_1665216491.zip,2022-09-01,PD2216F_EX_A_12.0.7.40.W20.V000L1,vivo/V2204/V2204:12/SP1A.210812.003/compiler09240142:user/release-keys,Android 12
PD2236DF_EX_A_12.0.6.2.W20.V000L1-update-full_1677484265.zip,2023-02-01,PD2236DF_EX_A_12.0.6.2.W20.V000L1,vivo/V2236/V2236:12/SP1A.210812.003/compiler02081630:user/release-keys,Android 12
PD2042F_EX_A_38.16.8-update-full_1669252370.zip,2022-11-01,PD2042F_EX_A_38.16.8,vivo/2028/2028:12/SP1A.210812.003/compiler11031738:user/release-keys,Android 12
PD2142F_EX_A_11.0.8.3.W20.V000L1-update-full_1651742068.zip,2022-04-01,PD2142F_EX_A_11.0.8.3.W20.V000L1,vivo/2135/2135:11/RP1A.200720.012/compiler0420190336:user/release-keys,Android 11
PD2228F_EX_A_13.1.1.9.W30.V000L1-update-full_1675756071.zip,2023-01-01,PD2228F_EX_A_13.1.1.9.W30.V000L1,vivo/V2206/V2206:13/TP1A.220624.014/compiler01042027:user/release-keys,Android 13
PD2204F_EX_A_12.0.8.14.W30.V000L1-update-full_1665566564.zip,2022-10-01,PD2204F_EX_A_12.0.8.14.W30.V000L1,vivo/V2158/V2158:12/SP1A.210812.003/compiler09302159:user/release-keys,Android 12
PD2156F_EX_A_36.10.50-update-full_1667999891.zip,2022-10-01,PD2156F_EX_A_36.10.50,vivo/2124N/2124:12/SP1A.210812.003/compiler10141916:user/release-keys,Android 12
PD2150F_EX_A_6.18.0-update-full_1667963393.zip,2022-10-01,PD2150F_EX_A_6.18.0,vivo/2116/2116:12/SP1A.210812.003/compiler10111644:user/release-keys,Android 12
PD2215F_EX_A_13.1.13.10.W30.V000L1-update-full_1675839645.zip,2023-01-01,PD2215F_EX_A_13.1.13.10.W30.V000L1,vivo/V2202/V2202:13/TP1A.220624.014/compiler01041925:user/release-keys,Android 13
PD2167F_EX_A_13.1.14.0.W20.V000L1-update-full_1672817010.zip,2022-12-01,PD2167F_EX_A_13.1.14.0.W20.V000L1,vivo/2130/2130:13/TP1A.220624.014/compiler12091522:user/release-keys,Android 13
PD2140F_EX_A_1.15.0-update-full_1646811265.zip,2022-02-01,PD2140F_EX_A_1.15.0,vivo/2020C/2120:11/RP1A.200720.012/compiler0302211151:user/release-keys,Android 11
PD2036F_EX_A_6.13.0-update-full_1649777681.zip,2022-03-01,PD2036F_EX_A_6.13.0,vivo/2026/2026:11/RP1A.200720.012/compiler0307104724:user/release-keys,Android 11
PD2139F_EX_A_6.21.0-update-full_1668141836.zip,2022-11-01,PD2139F_EX_A_6.21.0,vivo/2111/2111:12/SP1A.210812.003/compiler11042132:user/release-keys,Android 12
PD2147F_EX_A_36.16.1-update-full_1658458804.zip,2022-07-01,PD2147F_EX_A_36.16.1,vivo/2109/2109:12/SP1A.210812.003/compiler07082237:user/release-keys,Android 12
PD2005F_EX_A_38.13.7-update-full_1652414912.zip,2022-04-01,PD2005F_EX_A_38.13.7,vivo/2006G/2006:12/SP1A.210812.003/compiler04131810:user/release-keys,Android 12
PD2242F_EX_A_13.1.11.3.W30.V000L1-update-full_1675735896.zip,2023-01-01,PD2242F_EX_A_13.1.11.3.W30.V000L1,vivo/V2219/V2219:13/TP1A.220624.014/compiler02020010:user/release-keys,Android 13
PD2215F_EX_A_13.1.13.5.W30.V000L1-update-full_1672816959.zip,2022-12-01,PD2215F_EX_A_13.1.13.5.W30.V000L1,vivo/V2202/V2202:13/TP1A.220624.014/compiler12122001:user/release-keys,Android 13
PD2140F_EX_A_36.25.1-update-full_1667186318.zip,2022-10-01,PD2140F_EX_A_36.25.1,vivo/2020C/2120:12/SP1A.210812.003/compiler10142357:user/release-keys,Android 12
PD2225F_EX_A_13.1.1.9.W20.V000L1-update-full_1678169657.zip,2023-02-01,PD2225F_EX_A_13.1.1.9.W20.V000L1,vivo/V2205/V2205:13/TP1A.220624.014/compiler02132138:user/release-keys,Android 13
PD2216F_EX_A_12.0.8.28.W20.V000L1-update-full_1667889598.zip,2022-10-01,PD2216F_EX_A_12.0.8.28.W20.V000L1,vivo/V2204/V2204:12/SP1A.210812.003/compiler10192304:user/release-keys,Android 12
PD2083F_EX_A_36.9.21-update-full_1669343488.zip,2022-11-01,PD2083F_EX_A_36.9.21,vivo/2050/2050:12/SP1A.210812.003/compiler11041729:user/release-keys,Android 12
PD2204F_EX_A_12.0.8.13.W20.V000L1-update-full_1665220620.zip,2022-09-01,PD2204F_EX_A_12.0.8.13.W20.V000L1,vivo/V2158/V2158:12/SP1A.210812.003/compiler09261746:user/release-keys,Android 12
PD2185F_EX_A_13.1.11.7.W30.V000L1-update-full_1675738186.zip,2023-01-01,PD2185F_EX_A_13.1.11.7.W30.V000L1,vivo/V2145/V2145:13/TP1A.220624.014/compiler01101954:user/release-keys,Android 13
PD2323F_EX_A_14.0.5.5.W20.V000L1-update-full_1705593012.zip,2024-01-01,PD2323F_EX_A_14.0.5.5.W20.V000L1,vivo/V2318/V2318:14/UP1A.231005.007/compiler01182059:user/release-keys,Android 14
PD2167F_EX_A_12.0.14.3.W20.V000L1-update-full_1660150508.zip,2022-07-01,PD2167F_EX_A_12.0.14.3.W20.V000L1,vivo/2130/2130:12/SP1A.210812.003/compiler07012237:user/release-keys,Android 12
PD2103F_EX_A_1.9.3-update-full_1648100829.zip,2022-03-01,PD2103F_EX_A_1.9.3,vivo/2058/2058:11/RP1A.200720.012/compiler0318122249:user/release-keys,Android 11
PD2226F_EX_A_12.0.15.2.W20.V000L1-update-full_1671762494.zip,2022-12-01,PD2226F_EX_A_12.0.15.2.W20.V000L1,vivo/V2207/V2207:12/SP1A.210812.003/compiler12171243:user/release-keys,Android 12
PD2167F_EX_A_12.0.14.8.W30.V000L1-update-full_1667483578.zip,2022-09-01,PD2167F_EX_A_12.0.14.8.W30,vivo/2130/2130:12/SP1A.210812.003/compiler09200013:user/release-keys,Android 12
