device,firmware_filename,date,file_size,downloads,download_link,link
Y33s,PD2147F_EX_A_1.12.3,2022-04-02,3481.6M,24,https://www.vivo.com/uz/support/upgradePackageData?id=1753,https://www.vivo.com/uz/support/system-update
Y21,PD2139F_EX_A_1.3.8,2022-03-15,3276.8M,13,https://www.vivo.com/uz/support/upgradePackageData?id=1712,https://www.vivo.com/uz/support/system-update
Y15s,PD2140F_EX_A_6.20.4,2022-06-15,2355.2M,22,https://www.vivo.com/uz/support/upgradePackageData?id=1711,https://www.vivo.com/uz/support/system-update
V23 5G,PD2167F_EX_A_12.0.13.17.W20.V000L1,2022-06-15,4403.2M,28,https://www.vivo.com/uz/support/upgradePackageData?id=1710,https://www.vivo.com/uz/support/system-update
V23e,PD2150F_EX_A_1.13.8,2022-04-02,3788.8M,10,https://www.vivo.com/uz/support/upgradePackageData?id=1709,https://www.vivo.com/uz/support/system-update
Y53s,PD2103F_EX_A_1.9.6,2022-05-07,3276.8M,32,https://www.vivo.com/uz/support/upgradePackageData?id=1350,https://www.vivo.com/uz/support/system-update
V21e,PD2107F_EX_A_6.6.22,2022-06-15,3584M,69,https://www.vivo.com/uz/support/upgradePackageData?id=1308,https://www.vivo.com/uz/support/system-update
X60 Pro,PD2059F_EX_A_6.9.3,2022-06-15,3891.2M,12,https://www.vivo.com/uz/support/upgradePackageData?id=1178,https://www.vivo.com/uz/support/system-update
X80 Pro,PD2185F_EX_A_12.0.14.1.W30.V000L1,2022-12-16,5734.4M,294,https://www.vivo.com/uk/support/upgradePackageData?id=10,https://www.vivo.com/uk/support/system-update
V23 5G,PD2167F_EX_A_12.0.14.8.W30.V000L1,2022-12-16,4608M,203,https://www.vivo.com/uk/support/upgradePackageData?id=9,https://www.vivo.com/uk/support/system-update
Y52,PD2069F_EX_A_36.9.36,2022-11-08,3584M,253,https://www.vivo.com/uk/support/upgradePackageData?id=8,https://www.vivo.com/uk/support/system-update
V21 5G,PD2083F_EX_A_36.9.21,2022-12-16,4096M,470,https://www.vivo.com/uk/support/upgradePackageData?id=7,https://www.vivo.com/uk/support/system-update
X60 Pro,PD2059F_EX_A_36.7.12,2022-11-08,3788.8M,202,https://www.vivo.com/uk/support/upgradePackageData?id=6,https://www.vivo.com/uk/support/system-update
Y72 5G,PD2069F_EX_A_36.9.46,2022-12-16,3481.6M,695,https://www.vivo.com/uk/support/upgradePackageData?id=5,https://www.vivo.com/uk/support/system-update
Y11s,PD2042F_EX_A_38.16.8,2022-12-16,3379.2M,377,https://www.vivo.com/uk/support/upgradePackageData?id=4,https://www.vivo.com/uk/support/system-update
Y70,PD2038F_EX_A_38.9.22,2022-11-08,3379.2M,282,https://www.vivo.com/uk/support/upgradePackageData?id=3,https://www.vivo.com/uk/support/system-update
Y02,PD2236F_EX_A_12.0.6.8.W20.V000L1,2023-01-12,2764.8M,11,https://www.vivo.com/tn/support/upgradePackageData?id=2112,https://www.vivo.com/tn/support/system-update
Y22,PD2226F_EX_A_12.0.15.2.W20.V000L1,2023-01-12,4198.4M,22,https://www.vivo.com/tn/support/upgradePackageData?id=2111,https://www.vivo.com/tn/support/system-update
Y35,PD2225F_EX_A_12.0.10.4.W20.V000L1,2023-01-12,4198.4M,4,https://www.vivo.com/tn/support/upgradePackageData?id=2110,https://www.vivo.com/tn/support/system-update
Y01,PD2140F_EX_A_6.20.4,2022-10-14,2662.4M,6,https://www.vivo.com/tn/support/upgradePackageData?id=1981,https://www.vivo.com/tn/support/system-update
Y15s,PD2140F_EX_A_6.20.4,2022-10-14,2662.4M,40,https://www.vivo.com/tn/support/upgradePackageData?id=1980,https://www.vivo.com/tn/support/system-update
Y02s,PD2216F_EX_A_12.0.10.6.W20.V000L1,2023-01-12,4300.8M,13,https://www.vivo.com/tn/support/upgradePackageData?id=1979,https://www.vivo.com/tn/support/system-update
Y33s,PD2147F_EX_A_6.16.1,2022-10-14,3481.6M,8,https://www.vivo.com/tn/support/upgradePackageData?id=1879,https://www.vivo.com/tn/support/system-update
V23 5G,PD2167F_EX_A_13.1.14.0.W20.V000L1,2023-01-12,4608M,21,https://www.vivo.com/tn/support/upgradePackageData?id=1812,https://www.vivo.com/tn/support/system-update
Y21,PD2139F_EX_A_6.19.7,2022-10-14,3584M,39,https://www.vivo.com/tn/support/upgradePackageData?id=1532,https://www.vivo.com/tn/support/system-update
Y53s,PD2103F_EX_A_1.9.3,2022-04-06,3276.8M,8,https://www.vivo.com/tj/support/upgradePackageData?id=1779,https://www.vivo.com/tj/support/system-update
Y21,PD2139F_EX_A_1.3.8,2022-04-06,3276.8M,5,https://www.vivo.com/tj/support/upgradePackageData?id=1778,https://www.vivo.com/tj/support/system-update
Y15s,PD2140F_EX_A_1.15.0,2022-04-06,2355.2M,2,https://www.vivo.com/tj/support/upgradePackageData?id=1777,https://www.vivo.com/tj/support/system-update
X80 Lite,PD2215F_EX_A_12.0.8.5.W30.V000L1,2022-12-09,4812.8M,11,https://www.vivo.com/sk/support/upgradePackageData?id=167,https://www.vivo.com/sk/support/system-update
X80 Pro,PD2185F_EX_A_12.0.14.1.W30.V000L1,2022-12-16,5734.4M,22,https://www.vivo.com/sk/support/upgradePackageData?id=155,https://www.vivo.com/sk/support/system-update
Y01,PD2140F_EX_A_36.25.1,2022-12-09,3174.4M,19,https://www.vivo.com/sk/support/upgradePackageData?id=132,https://www.vivo.com/sk/support/system-update
Y76 5G,PD2156F_EX_A_36.10.50,2022-12-09,3788.8M,15,https://www.vivo.com/sk/support/upgradePackageData?id=131,https://www.vivo.com/sk/support/system-update
V23 5G,PD2167F_EX_A_12.0.14.8.W30.V000L1,2022-12-09,4608M,58,https://www.vivo.com/sk/support/upgradePackageData?id=130,https://www.vivo.com/sk/support/system-update
Y55 5G,PD2166F_EX_A_3.19.0,2022-11-08,4403.2M,5,https://www.vivo.com/sk/support/upgradePackageData?id=129,https://www.vivo.com/sk/support/system-update
X80 Lite,PD2215F_EX_A_13.1.13.5.W30.V000L1,2023-02-27,5017.6M,5,https://www.vivo.com/si/support/upgradePackageData?id=204,https://www.vivo.com/si/support/system-update
Y35,PD2225F_EX_A_12.0.8.6.W30.V000L1,2023-02-27,4505.6M,5,https://www.vivo.com/si/support/upgradePackageData?id=200,https://www.vivo.com/si/support/system-update
