device,firmware_filename,date,file_size,downloads,download_link,link,region,country,spl,post_build,android_version
X Fold3 Pro,PD2337F_EX_A_14.0.7.10.W30.V000L1,6/7/24,5632M,1123,https://www.vivo.com/in/support/upgradePackageData?id=227,https://www.vivo.com/in/support/system-update,in,India,5/1/24,vivo/V2330i/V2330:14/UP1A.231005.007/compiler05222235:user/release-keys,Android 14
Y03,PD2327F_EX_A_14.0.10.3.W20.V000L1,4/18/24,4198.4M,810,https://www.vivo.com/id/support/upgradePackageData?id=2652,https://www.vivo.com/id/support/system-update,id,Indonesia,3/1/24,vivo/V2333/V2333:14/UP1A.231005.007/compiler03152132:user/release-keys,Android 14
Y100 5G,PD2341F_EX_A_14.0.8.12.W20.V000L1,4/18/24,4300.8M,430,https://www.vivo.com/id/support/upgradePackageData?id=2651,https://www.vivo.com/id/support/system-update,id,Indonesia,3/1/24,vivo/V2327/V2327:14/UP1A.231005.007/compiler04042135:user/release-keys,Android 14
Y100,PD2358F_EX_A_14.0.9.4.W20.V000L1,4/18/24,4096M,140,https://www.vivo.com/id/support/upgradePackageData?id=2650,https://www.vivo.com/id/support/system-update,id,Indonesia,3/1/24,vivo/V2342/V2342:14/UP1A.231005.007/compiler04031856:user/release-keys,Android 14
V30 Pro,PD2332F_EX_A_14.0.8.31.W20.V000L1,4/18/24,5120M,252,https://www.vivo.com/id/support/upgradePackageData?id=2649,https://www.vivo.com/id/support/system-update,id,Indonesia,2/1/24,vivo/V2319/V2319:14/UP1A.231005.007/compiler02291849:user/release-keys,Android 14
V30,PD2323F_EX_A_14.0.5.5.W20.V000L1,4/18/24,4812.8M,258,https://www.vivo.com/id/support/upgradePackageData?id=2648,https://www.vivo.com/id/support/system-update,id,Indonesia,1/1/24,vivo/V2318/V2318:14/UP1A.231005.007/compiler01182059:user/release-keys,Android 14
Y22s,PD2228F_EX_A_12.0.8.8.W30.V000L1,11/23/23,3686.4M,13,https://www.vivo.com/pt/support/upgradePackageData?id=251,https://www.vivo.com/pt/support/system-update,pt,Portugal,,,
V29,PD2283F_EX_A_13.0.12.8.W30.V000L1,11/23/23,5427.2M,6,https://www.vivo.com/pt/support/upgradePackageData?id=250,https://www.vivo.com/pt/support/system-update,pt,Portugal,,,
X90 Pro,PD2242F_EX_A_13.1.15.1.W30.V000L1,11/20/23,4812.8M,261,https://www.vivo.com/de/support/upgradePackageData?id=219,https://www.vivo.com/de/support/system-update,de,Germany,8/1/23,vivo/V2219/V2219:13/TP1A.220624.014/compiler08212224:user/release-keys,Android 13
V25 Pro,PD2204F_EX_A_12.0.9.0.W20.V000L1,11/13/23,4710.4M,2320,https://www.vivo.com/id/support/upgradePackageData?id=1897,https://www.vivo.com/id/support/system-update,id,Indonesia,10/1/22,vivo/V2158/V2158:12/SP1A.210812.003/compiler10211227:user/release-keys,Android 12
V25,PD2215F_EX_A_12.0.8.5.W20.V000L1,11/13/23,4608M,1224,https://www.vivo.com/id/support/upgradePackageData?id=1896,https://www.vivo.com/id/support/system-update,id,Indonesia,11/1/22,vivo/V2202/V2202:12/SP1A.210812.003/compiler11081123:user/release-keys,Android 12
V25e,PD2214F_EX_A_12.0.7.10.W20.V000L1,11/13/23,4505.6M,1016,https://www.vivo.com/id/support/upgradePackageData?id=1895,https://www.vivo.com/id/support/system-update,id,Indonesia,11/1/22,vivo/V2201/V2201:12/SP1A.210812.003/compiler11262008:user/release-keys,Android 12
X80,PD2183F_EX_A_13.1.3.8.W20.V000L1,11/13/23,5836.8M,575,https://www.vivo.com/id/support/upgradePackageData?id=1882,https://www.vivo.com/id/support/system-update,id,Indonesia,9/1/23,vivo/V2144/V2144:13/TP1A.220624.014/compiler09161028:user/release-keys,Android 13
X80 Pro,PD2185F_EX_A_13.1.11.21.W20.V000L1,11/13/23,5734.4M,485,https://www.vivo.com/id/support/upgradePackageData?id=1860,https://www.vivo.com/id/support/system-update,id,Indonesia,8/1/23,vivo/V2145/V2145:13/TP1A.220624.014/compiler08211620:user/release-keys,Android 13
V29 lite,PD2271F_EX_A_13.0.7.0.W30.V000L1,10/11/23,3891.2M,1,https://www.vivo.com/pt/support/upgradePackageData?id=244,https://www.vivo.com/pt/support/system-update,pt,Portugal,,,
Y36,PD2280F_EX_A_13.0.9.8.W30.V000L1,10/11/23,3891.2M,8,https://www.vivo.com/pt/support/upgradePackageData?id=243,https://www.vivo.com/pt/support/system-update,pt,Portugal,,,
Y16,PD2216F_EX_A_12.0.10.7.W30.V000L1,10/9/23,4505.6M,11,https://www.vivo.com/pt/support/upgradePackageData?id=242,https://www.vivo.com/pt/support/system-update,pt,Portugal,11/1/22,vivo/V2204/V2204:12/SP1A.210812.003/compiler11281624:user/release-keys,Android 12
X80 Pro,PD2185F_EX_A_12.0.14.1.W30.V000L1,10/9/23,5734.4M,33,https://www.vivo.com/pt/support/upgradePackageData?id=150,https://www.vivo.com/pt/support/system-update,pt,Portugal,11/1/22,vivo/V2145/V2145:12/SP1A.210812.003/compiler11081849:user/release-keys,Android 12
X90 Pro,PD2242F_EX_A_13.1.15.1.W30.V000L1,9/13/23,4812.8M,152,https://www.vivo.com/pl/support/upgradePackageData?id=207,https://www.vivo.com/pl/support/system-update,pl,Poland,8/1/23,vivo/V2219/V2219:13/TP1A.220624.014/compiler08212224:user/release-keys,Android 13
V27 5G,PD2269F_EX_A_13.0.9.32.W20.V000L1,8/7/23,5120M,3327,https://www.vivo.com/bd/support/upgradePackageData?id=2211,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,7/1/23,vivo/V2231/V2231:13/TP1A.220624.014/compiler07061725:user/release-keys,Android 13
V27e,PD2268F_EX_A_13.0.10.3.W20.V000L1,8/7/23,4812.8M,802,https://www.vivo.com/bd/support/upgradePackageData?id=2204,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,7/1/23,vivo/V2237/V2237:13/TP1A.220624.014/compiler07132114:user/release-keys,Android 13
X80,PD2183F_EX_A_12.0.13.10.W20.V000L1,8/7/23,5529.6M,756,https://www.vivo.com/bd/support/upgradePackageData?id=1841,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,11/1/22,vivo/V2144/V2144:12/SP1A.210812.003/compiler11262048:user/release-keys,Android 12
X80,PD2183F_EX_A_12.0.13.10.W20.V000L1,8/7/23,5529.6M,756,https://www.vivo.com/bd/support/upgradePackageData?id=1841,https://www.vivo.com/bd/support/system-update,bd,Bangladesh,11/1/22,vivo/V2144/V2144:12/SP1A.210812.003/compiler11262048:user/release-keys,Android 12
