date,device,support_type
10/5/22,iQOO 9,monthly
10/5/22,iQOO 9 SE,monthly
10/5/22,iQOO 9 Pro,monthly
10/5/22,iQOO 9T,monthly
10/5/22,iQOO 7,monthly
10/5/22,iQOO 7 Legend,monthly
10/5/22,iQOO Neo6,monthly
10/5/22,iQOO Z6,monthly
10/5/22,iQOO Z6 5G,monthly
10/5/22,iQOO Z6 Lite 5G,monthly
10/5/22,iQOO Z5,monthly
10/5/22,iQOO Z3 5G,monthly
10/5/22,X80,monthly
10/5/22,X80 Pro,monthly
10/5/22,X80 Lite 5G,monthly
10/5/22,X70,monthly
10/5/22,X70t Pro,monthly
10/5/22,X70 Pro+,monthly
10/5/22,X60,monthly
10/5/22,X60 Pro,monthly
10/5/22,X60 Pro+,monthly
10/5/22,V25,monthly
10/5/22,V25e,monthly
10/5/22,V25 Pro,monthly
10/5/22,V23 5G,monthly
10/5/22,V23e 5G,monthly
10/5/22,V23 Pro,monthly
10/5/22,V21,monthly
10/5/22,V21 5G,monthly
10/5/22,V21e,monthly
10/5/22,V21e 5G,monthly
10/5/22,V20,monthly
10/5/22,V20 2021,monthly
10/5/22,T1,monthly
10/5/22,T1 5G,monthly
10/5/22,T1x,monthly
10/5/22,T1 Pro 5G,monthly
10/5/22,Y01,monthly
10/5/22,Y01A,monthly
10/5/22,Y02,monthly
10/5/22,Y02s,monthly
10/5/22,Y15A,monthly
10/5/22,Y15C,monthly
10/5/22,Y15s,monthly
10/5/22,Y16,monthly
10/5/22,Y20T,monthly
10/5/22,Y21,monthly
10/5/22,Y21A,monthly
10/5/22,Y21e,monthly
10/5/22,Y21s,monthly
10/5/22,Y21T,monthly
10/5/22,Y22,monthly
10/5/22,Y22s,monthly
10/5/22,Y30 5G,monthly
10/5/22,Y33s,monthly
10/5/22,Y33T,monthly
10/5/22,Y35,monthly
10/5/22,Y55,monthly
10/5/22,Y55 5G,monthly
10/5/22,Y76 5G,monthly
10/5/22,iQOO 3,quarterly
10/5/22,X50 Pro,quarterly
10/5/22,V20 Pro,quarterly
10/5/22,V20 SE,quarterly
10/5/22,S1 Prime,quarterly
10/5/22,Y1s,quarterly
10/5/22,Y3s,quarterly
10/5/22,Y11s,quarterly
10/5/22,Y12A,quarterly
10/5/22,Y12D,quarterly
10/5/22,Y12G,quarterly
10/5/22,Y12s,quarterly
10/5/22,Y12s 2021,quarterly
10/5/22,Y20,quarterly
10/5/22,Y20A,quarterly
10/5/22,Y20A 2021,quarterly
10/5/22,Y20i,quarterly
10/5/22,Y20G,quarterly
10/5/22,Y20G 2021,quarterly
10/5/22,Y20 2021,quarterly
10/5/22,Y20s,quarterly
10/5/22,Y20s [G],quarterly
10/5/22,Y30,quarterly
10/5/22,Y31,quarterly
10/5/22,Y33,quarterly
10/5/22,Y51,quarterly
10/5/22,Y51s,quarterly
10/5/22,Y52 5G,quarterly
10/5/22,Y53s,quarterly
10/5/22,Y70,quarterly
10/5/22,Y72 5G,quarterly
10/5/22,Y73,quarterly
10/5/22,NEX,regular
10/5/22,NEX 3,regular
10/5/22,NEX Dual Display,regular
10/5/22,X50,regular
10/5/22,X50 Lite,regular
10/5/22,vivo X50e,regular
10/5/22,X21,regular
10/5/22,V19,regular
