device,firmware_name,release_date,android_version,link,region,country,spl,chipset,keyword
y35,PD2225F_EX_A_13.1.1.6.W30.V000L1,4/3/23,13,https://www.vivo.com/gr/support/system-update,gr,Greece,12/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y22s,PD2228F_EX_A_12.0.7.20.W30.V000L1,10/20/22,12,https://www.vivo.com/gr/support/system-update,gr,Greece,9/1/22,"Qualcomm SM6225,Snapdragon 680 4G (6 nm)","qualcomm sm6225,snapdragon 680 4g"
y01,PD2140F_EX_A_36.25.1,12/9/22,Android 12,https://www.vivo.com/gr/support/system-update,gr,Greece,10/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765
y21s,PD2138F_EX_A_36.19.1,12/9/22,Android 11,https://www.vivo.com/gr/support/system-update,gr,Greece,10/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y33s,PD2147F_EX_A_36.19.1,11/28/23,Android 12,https://www.vivo.com/gr/support/system-update,gr,Greece,10/1/22,Mediatek MT6769V/CU Helio G80 (12 nm),mediatek mt6769v
y21,PD2139F_EX_A_36.19.7,11/28/23,Android 11,https://www.vivo.com/gr/support/system-update,gr,Greece,9/1/22,Mediatek MT6765 Helio P35 (12 nm),mediatek mt6765 helio p35
y76 5g,PD2156F_EX_A_36.10.48,11/28/23,Android 12,https://www.vivo.com/gr/support/system-update,gr,Greece,,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
x90 pro,PD2242F_EX_A_13.1.10.4.W30.V000L1,3/9/23,13,https://www.vivo.com/gr/support/system-update,gr,Greece,,Mediatek Dimensity 9200 (4 nm),mediatek dimensity 9200
x80 pro,PD2185F_EX_A_12.0.14.1.W30.V000L1,12/16/22,12,https://www.vivo.com/gr/support/system-update,gr,Greece,11/1/22,"Qualcomm SM8450,Snapdragon 8 Gen 1 (4 nm), Mediatek Dimensity 9000 (4 nm)","qualcomm sm8450,snapdragon 8 gen 1,mediatek dimensity 9000"
v23 5g,PD2167F_EX_A_12.0.14.8.W30.V000L1,12/9/22,12,https://www.vivo.com/gr/support/system-update,gr,Greece,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
y52,PD2069F_EX_A_36.9.36,,Android 11,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,9/1/22,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y72 5g,PD2069F_EX_A_36.9.46,,Android 11,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,11/1/22,Mediatek Dimensity 700 (7 nm),mediatek dimensity 700
y11s,PD2042F_EX_A_38.16.8,,Android 11,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,11/1/22,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
y70,PD2038F_EX_A_38.9.22,,Android 11,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,9/1/22,"Qualcomm SDM665,Snapdragon 665 (11 nm)","qualcomm sdm665,snapdragon 665"
y20s,PD2034EF_EX_A_38.16.8,,Android 10,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,11/1/22,"Qualcomm SM4250,Snapdragon 460 (11 nm)","qualcomm sm4250,snapdragon 460"
v23 5g,PD2167F_EX_A_12.0.14.8.W30.V000L1,,12,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,,Mediatek Dimensity 920 (6 nm),mediatek dimensity 920
v21 5g,PD2083F_EX_A_36.9.21,,Android 12,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,11/1/22,Mediatek Dimensity 800U (7 nm),mediatek dimensity 800u
x80 pro,PD2185F_EX_A_12.0.14.1.W30.V000L1,,12,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,11/1/22,"Qualcomm SM8450,Snapdragon 8 Gen 1 (4 nm), Mediatek Dimensity 9000 (4 nm)","qualcomm sm8450,snapdragon 8 gen 1,mediatek dimensity 9000"
x60 pro,PD2059F_EX_A_36.7.12,,Android 11,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,9/1/22,Qualcomm SM8250,qualcomm sm8250
x51 5g,PD2005F_EX_A_38.13.7,,Android 11,https://www.vivo.com/uk/support/system-update,uk,United Kingdom,4/1/22,"Qualcomm SM7250,Snapdragon 765G 5G (7 nm)","qualcomm sm7250,snapdragon 765g 5g"
