CVE,SPL,SMR,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info
CVE-2023-40085,24-Jan,,,"In convertSubgraphFromHAL of ShimConverter.cpp, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.093,2024-02-16T19:26:55.393,,,,,,,,,,,
CVE-2024-0016,24-Jan,,,"In multiple locations, there is a possible out of bounds read due to a missing bounds check. This could lead to paired device information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.460,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2024-0021,24-Jan,,,"In onCreate of NotificationAccessConfirmationActivity.java, there is a possible way for an app in the work profile to enable notification listener services due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T20:15:47.717,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2024-0023,24-Jan,,,"In ConvertRGBToPlanarYUV of Codec2BufferUtils.cpp, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.767,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2024-0017,24-Jan,,,"In shouldUseNoOpLocation of CameraActivity.java, there is a possible confused deputy due to a permissions bypass. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T20:15:47.513,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2023-21165,24-Jan,,,"In DevmemIntUnmapPMR of devicemem_server.c, there is a possible arbitrary code execution due to a use after free. This could lead to local escalation of privilege in the kernel with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.007,2024-02-16T20:15:47.257,,,,,,,,,,,
CVE-2024-0019,24-Jan,,,"In setListening of AppOpsControllerImpl.java, there is a possible way to hide the microphone privacy indicator when restarting systemUI due to a missing check for active recordings. This could lead to local denial of service with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T20:15:47.610,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2024-0020,24-Jan,,,"In onActivityResult of NotificationSoundPreference.java, there is a possible way to hear audio files belonging to a different user due to a confused deputy. This could lead to local information disclosure across users of a device with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.667,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2024-0015,24-Jan,,,"In convertToComponentName of DreamService.java, there is a possible way to launch arbitrary protected activities due to intent redirection. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.153,2024-02-16T19:26:55.393,,,,,,,,,,,
CVE-2024-0018,24-Jan,,,"In convertYUV420Planar16ToY410 of ColorConverter.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.560,2024-02-16T21:39:50.223,,,,,,,,,,,
CVE-2024-0031,24-Feb,,,"In attp_build_read_by_type_value_cmd of att_protocol.cc , there is a possible out of bounds write due to improper input validation. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.763,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2024-0036,24-Feb,,,"In startNextMatchingActivity of ActivityTaskManagerService.java, there is a possible way to bypass the restrictions on starting activities from the background due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.047,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0030,24-Feb,,,"In btif_to_bta_response of btif_gatt_util.cc, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.710,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40093,24-Feb,,,"In multiple files, there is a possible way that trimmed content could be included in PDF output due to a logic error in the code. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:49.963,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2024-0032,24-Feb,,,"In queryChildDocuments of FileSystemProvider.java, there is a possible way to request access to directories that should be hidden due to improper input validation. This could lead to local escalation of privilege with User execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T02:15:50.823,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2023-40122,24-Feb,,,"In applyCustomDescription of SaveUi.java, there is a possible way to view other user's images due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.513,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2024-0037,24-Feb,,,"In applyCustomDescription of SaveUi.java, there is a possible way to view images belonging to a different user due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.097,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0033,24-Feb,,,"In multiple functions of ashmem-dev.cpp, there is a possible missing seal due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.877,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0034,24-Feb,,,"In BackgroundLaunchProcessController, there is a possible way to launch arbitrary activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.933,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0040,24-Feb,,,"In setParameter of MtpPacket.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.203,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0041,24-Feb,,,"In removePersistentDot of SystemStatusAnimationSchedulerImpl.kt, there is a possible race condition due to a logic error in the code. This could lead to local escalation of privilege that fails to remove the persistent dot with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.253,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0035,24-Feb,,,"In onNullBinding of TileLifecycleManager.java, there is a possible way to launch an activity from the background due to a missing null check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.980,2024-02-16T13:37:51.433,,,,,,,,,,,
CVE-2024-0014,24-Feb,,,"In startInstall of UpdateFetcher.java, there is a possible way to trigger a malicious config update due to a logic error. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.580,2024-02-16T13:37:55.033,,,,,,,,,,,
CVE-2024-0029,24-Feb,,,"In multiple files, there is a possible way to capture the device screen when disallowed by device policy due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.633,2024-02-16T13:37:55.033,,,,,,,,,,,
