android,branch,codename,date,link,md5,method,name,size,version,device,region,codename_short,changelog_url
4.2,Stable,HM2013022,2015-03-26,https://bigota.d.miui.com/JHACNBH22.0/miui_HM2_JHACNBH22.0_a4bd134f02_4.2.zip,a4bd134f029bd7d93d1cf595a4edb60a,Recovery,Redmi 1 TD China,315.9 MB,JHACNBH22.0,Redmi 1 TD,China,HM2013022,https://xiaomifirmwareupdater.com/miui/HM2013022/stable/JHACNBH22.0/
4.2,Stable,HM2013022,2015-03-26,https://bigota.d.miui.com/JHACNBH22.0/miui_HM2_JHACNBH22.0_a4bd134f02_4.2.zip,a4bd134f029bd7d93d1cf595a4edb60a,Recovery,Redmi 1 China,315.9 MB,JHACNBH22.0,Redmi 1,China,HM2013022,https://xiaomifirmwareupdater.com/miui/HM2013022/stable/JHACNBH22.0/
4.4,Weekly,HM2013022,2017-11-15,https://bigota.d.miui.com/7.11.16/miui_HMTD_7.11.16_79d730de3e_4.4.zip,79d730de3e2d6c5373d12a1b23e1120a,Recovery,Redmi 1 TD China,460.1 MB,7.11.16,Redmi 1 TD,China,HM2013022,https://xiaomifirmwareupdater.com/miui/HM2013022/weekly/7.11.16/
4.4,Weekly,HM2013022,2017-11-15,https://bigota.d.miui.com/7.11.16/miui_HMTD_7.11.16_79d730de3e_4.4.zip,79d730de3e2d6c5373d12a1b23e1120a,Recovery,Redmi 1 China,460.1 MB,7.11.16,Redmi 1,China,HM2013022,https://xiaomifirmwareupdater.com/miui/HM2013022/weekly/7.11.16/
4.4,Stable,HM2013023,2016-05-12,https://bigota.d.miui.com/V7.3.1.0.KHBCNDD/miui_HMW_V7.3.1.0.KHBCNDD_49c9fc7ce6_4.4.zip,49c9fc7ce6be59b9a7bddd35f5a82596,Recovery,Redmi 1 W China,507.6 MB,V7.3.1.0.KHBCNDD,Redmi 1 W,China,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V7.3.1.0.KHBCNDD/
4.4,Stable,HM2013023,2016-05-12,https://bigota.d.miui.com/V7.3.1.0.KHBCNDD/miui_HMW_V7.3.1.0.KHBCNDD_49c9fc7ce6_4.4.zip,49c9fc7ce6be59b9a7bddd35f5a82596,Recovery,Redmi 1 China,507.6 MB,V7.3.1.0.KHBCNDD,Redmi 1,China,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V7.3.1.0.KHBCNDD/
4.4,Stable,HM2013023,2016-05-12,https://bigota.d.miui.com/V7.3.1.0.KHBCNDD/miui_HMW_V7.3.1.0.KHBCNDD_49c9fc7ce6_4.4.zip,49c9fc7ce6be59b9a7bddd35f5a82596,Recovery,Redmi 1 Global,507.6 MB,V7.3.1.0.KHBCNDD,Redmi 1,Global,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V7.3.1.0.KHBCNDD/
4.4,Stable,HM2013023,2016-05-12,https://bigota.d.miui.com/V7.3.1.0.KHBCNDD/miui_HMW_V7.3.1.0.KHBCNDD_49c9fc7ce6_4.4.zip,49c9fc7ce6be59b9a7bddd35f5a82596,Recovery,Redmi 1 Taiwan,507.6 MB,V7.3.1.0.KHBCNDD,Redmi 1,Taiwan,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V7.3.1.0.KHBCNDD/
4.4,Stable,HM2013023,2016-05-12,https://bigota.d.miui.com/V7.3.1.0.KHBCNDD/miui_HMW_V7.3.1.0.KHBCNDD_49c9fc7ce6_4.4.zip,49c9fc7ce6be59b9a7bddd35f5a82596,Recovery,Redmi 1 W Global,507.6 MB,V7.3.1.0.KHBCNDD,Redmi 1 W,Global,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V7.3.1.0.KHBCNDD/
4.4,Weekly,HM2013023,2018-09-26,http://bigota.d.miui.com/7.4.27/miui_HMW_7.4.27_e7a648edd5_4.4.zip,e7a648edd57b9bea509bdfcb9cbca020,Recovery,Redmi 1 W China,710.2 MB,7.4.27,Redmi 1 W,China,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2018-09-26,http://bigota.d.miui.com/7.4.27/miui_HMW_7.4.27_e7a648edd5_4.4.zip,e7a648edd57b9bea509bdfcb9cbca020,Recovery,Redmi 1 China,710.2 MB,7.4.27,Redmi 1,China,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2018-09-26,http://bigota.d.miui.com/7.4.27/miui_HMW_7.4.27_e7a648edd5_4.4.zip,e7a648edd57b9bea509bdfcb9cbca020,Recovery,Redmi 1 Global,710.2 MB,7.4.27,Redmi 1,Global,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2018-09-26,http://bigota.d.miui.com/7.4.27/miui_HMW_7.4.27_e7a648edd5_4.4.zip,e7a648edd57b9bea509bdfcb9cbca020,Recovery,Redmi 1 Taiwan,710.2 MB,7.4.27,Redmi 1,Taiwan,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2018-09-26,http://bigota.d.miui.com/7.4.27/miui_HMW_7.4.27_e7a648edd5_4.4.zip,e7a648edd57b9bea509bdfcb9cbca020,Recovery,Redmi 1 W Global,710.2 MB,7.4.27,Redmi 1 W,Global,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2017-04-26,http://bigota.d.miui.com/7.4.27/wt98007_images_7.4.27_20170426.0000.00_4.4_cn_aabd82ba12.tgz,aabd82ba1264b7b2c2e4962f479319c8,Fastboot,Redmi 1 W China,1.0 GB,7.4.27,Redmi 1 W,China,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2017-04-26,http://bigota.d.miui.com/7.4.27/wt98007_images_7.4.27_20170426.0000.00_4.4_cn_aabd82ba12.tgz,aabd82ba1264b7b2c2e4962f479319c8,Fastboot,Redmi 1 China,1.0 GB,7.4.27,Redmi 1,China,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2017-04-26,http://bigota.d.miui.com/7.4.27/wt98007_images_7.4.27_20170426.0000.00_4.4_cn_aabd82ba12.tgz,aabd82ba1264b7b2c2e4962f479319c8,Fastboot,Redmi 1 Global,1.0 GB,7.4.27,Redmi 1,Global,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2017-04-26,http://bigota.d.miui.com/7.4.27/wt98007_images_7.4.27_20170426.0000.00_4.4_cn_aabd82ba12.tgz,aabd82ba1264b7b2c2e4962f479319c8,Fastboot,Redmi 1 Taiwan,1.0 GB,7.4.27,Redmi 1,Taiwan,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Weekly,HM2013023,2017-04-26,http://bigota.d.miui.com/7.4.27/wt98007_images_7.4.27_20170426.0000.00_4.4_cn_aabd82ba12.tgz,aabd82ba1264b7b2c2e4962f479319c8,Fastboot,Redmi 1 W Global,1.0 GB,7.4.27,Redmi 1 W,Global,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/weekly/7.4.27/
4.4,Stable,HM2013023_sg_global,2015-08-19,http://bigota.d.miui.com/V6.6.1.0.KHBMICF/miui_HMWSGGlobal_V6.6.1.0.KHBMICF_033545b329_4.4.zip,033545b3296aa7a7d88152c1eb66a6e7,Recovery,Redmi 1 W Singapore,668.5 MB,V6.6.1.0.KHBMICF,Redmi 1 W,Singapore,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V6.6.1.0.KHBMICF/
4.4,Stable,HM2013023_sg_global,2015-08-19,http://bigota.d.miui.com/V6.6.1.0.KHBMICF/miui_HMWSGGlobal_V6.6.1.0.KHBMICF_033545b329_4.4.zip,033545b3296aa7a7d88152c1eb66a6e7,Recovery,Redmi 1 W Singapore,668.5 MB,V6.6.1.0.KHBMICF,Redmi 1 W,Singapore,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V6.6.1.0.KHBMICF/
4.4,Stable,HM2013023_sg_global,2015-06-26,http://bigota.d.miui.com/V6.6.1.0.KHBMICF/HM2013023_sg_global_images_V6.6.1.0.KHBMICF_20150626.0000.4_4.4_global_c7efd84649.tgz,c7efd84649864eee8f4eb433057ba740,Fastboot,Redmi 1 W Singapore,837.8 MB,V6.6.1.0.KHBMICF,Redmi 1 W,Singapore,HM2013023,https://xiaomifirmwareupdater.com/miui/HM2013023/stable/V6.6.1.0.KHBMICF/
