android,branch,codename,date,link,md5,method,name,size,version,device,region,codename_short,changelog_url,changelog,SPL,SPL_date,delay,delay_days,device_type
14,Stable Beta,air_global,6/21/24,https://bigota.d.miui.com/OS1.0.2.0.UGQMIXM/miui_AIRGlobal_OS1.0.2.0.UGQMIXM_3a209a95cf_14.0.zip,3a209a95cf459cb3627064a04d838719,Recovery,Redmi 13R 5G / 13C 5G Global,4.4 GB,OS1.0.2.0.UGQMIXM,Redmi 13R 5G / 13C 5G,Global,air,https://xiaomifirmwareupdater.com/miui/air/stable/OS1.0.2.0.UGQMIXM/,,,,,,Phone
13,Stable Beta,pissarro_in_fk_global,6/21/24,https://bigota.d.miui.com/OS1.0.4.0.TKTINFK/miui_PISSARROINFKGlobal_OS1.0.4.0.TKTINFK_4db2a59340_13.0.zip,4db2a59340c910897a8364aa3cae8684,Recovery,Xiaomi 11i 5G India,3.7 GB,OS1.0.4.0.TKTINFK,Xiaomi 11i 5G,India,pissarro,https://xiaomifirmwareupdater.com/miui/pissarro/stable/OS1.0.4.0.TKTINFK/,,,,,,Phone
14,Stable,ruan_in_global,6/21/24,https://bigota.d.miui.com/OS1.0.1.0.UFSINXM/miui_RUANINGlobal_OS1.0.1.0.UFSINXM_42dad36ffb_14.0.zip,42dad36ffb4679828590feedf802bed4,Recovery,Redmi Pad Pro 5G / POCO Pad 5G India,4.2 GB,OS1.0.1.0.UFSINXM,Redmi Pad Pro 5G / POCO Pad 5G,India,ruan,https://xiaomifirmwareupdater.com/miui/ruan/stable/OS1.0.1.0.UFSINXM/,,,,,,Tablet
14,Stable Beta,vermeer_ru_global,6/21/24,https://bigota.d.miui.com/OS1.0.3.0.UNKRUXM/miui_VERMEERRUGlobal_OS1.0.3.0.UNKRUXM_4ba4493607_14.0.zip,4ba449360797c3cfb500a7163e562982,Recovery,POCO F6 Pro Russia,6.3 GB,OS1.0.3.0.UNKRUXM,POCO F6 Pro,Russia,vermeer,https://xiaomifirmwareupdater.com/miui/vermeer/stable/OS1.0.3.0.UNKRUXM/,,,,,,Phone
14,Stable Beta,moon_eea_global,6/20/24,https://bigota.d.miui.com/OS1.0.3.0.UNTEUXM/miui_MOONEEAGlobal_OS1.0.3.0.UNTEUXM_b44caa7893_14.0.zip,b44caa78930161287e5c0c49a1d054fb,Recovery,Redmi 13 / POCO M6 EEA,4.5 GB,OS1.0.3.0.UNTEUXM,Redmi 13 / POCO M6,EEA,moon,https://xiaomifirmwareupdater.com/miui/moon/stable/OS1.0.3.0.UNTEUXM/,,,,,,Phone
14,Stable Beta,moon_tw_global,6/20/24,https://bigota.d.miui.com/OS1.0.2.0.UNTTWXM/miui_MOONTWGlobal_OS1.0.2.0.UNTTWXM_7d48c1a274_14.0.zip,7d48c1a274d18c12098f0a577dbfda39,Recovery,Redmi 13 / POCO M6 Taiwan,4.2 GB,OS1.0.2.0.UNTTWXM,Redmi 13 / POCO M6,Taiwan,moon,https://xiaomifirmwareupdater.com/miui/moon/stable/OS1.0.2.0.UNTTWXM/,,,,,,Phone
13,Stable Beta,alioth,6/18/24,https://bigota.d.miui.com/OS1.0.6.0.TKHCNXM/miui_ALIOTH_OS1.0.6.0.TKHCNXM_101dfdb5be_13.0.zip,101dfdb5be6e5f206da0393cd3e7e48c,Recovery,Redmi K40 China,4.1 GB,OS1.0.6.0.TKHCNXM,Redmi K40,China,alioth,https://xiaomifirmwareupdater.com/miui/alioth/stable/OS1.0.6.0.TKHCNXM/,,,,,,Phone
14,Stable Beta,garnet_global,6/18/24,https://bigota.d.miui.com/OS1.0.9.0.UNRMIXM/miui_GARNETGlobal_OS1.0.9.0.UNRMIXM_080d2b9243_14.0.zip,080d2b9243af11f236554ed4aeb8472d,Recovery,Redmi Note 13 Pro 5G / POCO X6 5G Global,5.2 GB,OS1.0.9.0.UNRMIXM,Redmi Note 13 Pro 5G / POCO X6 5G,Global,garnet,https://xiaomifirmwareupdater.com/miui/garnet/stable/OS1.0.9.0.UNRMIXM/,,,,,,Phone
14,Stable Beta,garnet_id_global,6/18/24,https://bigota.d.miui.com/OS1.0.5.0.UNRIDXM/miui_GARNETIDGlobal_OS1.0.5.0.UNRIDXM_b8e2b1e78a_14.0.zip,b8e2b1e78af7d35b417d0746ec10b6f8,Recovery,Redmi Note 13 Pro 5G / POCO X6 5G Indonesia,5.0 GB,OS1.0.5.0.UNRIDXM,Redmi Note 13 Pro 5G / POCO X6 5G,Indonesia,garnet,https://xiaomifirmwareupdater.com/miui/garnet/stable/OS1.0.5.0.UNRIDXM/,,,,,,Phone
14,Stable Beta,gold_in_global,6/18/24,https://bigota.d.miui.com/OS1.0.8.0.UNQINXM/miui_GOLDINGlobal_OS1.0.8.0.UNQINXM_be97d62402_14.0.zip,be97d62402fbde4add98b852df28466b,Recovery,Redmi Note 13 5G / POCO X6 Neo 5G India,4.6 GB,OS1.0.8.0.UNQINXM,Redmi Note 13 5G / POCO X6 Neo 5G,India,gold,https://xiaomifirmwareupdater.com/miui/gold/stable/OS1.0.8.0.UNQINXM/,,,,,,Phone
