id,device,region,last_android_version,last_update_date
taurus,Mi 2A,China,Android 4.1,2015-04-27
mione_plus,MI 1S,China,Android 4.1,2015-04-12
HM2013022,Redmi 1 TD,China,Android 4.4,2017-11-15
HM2014813,Redmi 2 LTE,China,Android 4.4,2015-03-29
HM2013023_sg_global,Redmi 1 W,Singapore,Android 4.4,2015-12-24
HM2014811,Redmi 2 LTE,Global,Android 4.4,2015-10-17
virgo_lte_ct,Mi Note LTE CT,China,Android 4.4,2016-08-23
lcsh92_wet_jb9_global,Redmi Note 3G,Global,Android 4.4,2018-08-03
HM2013023,Redmi 1,Global,Android 4.4,2018-09-26
prada_global,Redmi 4,Global,Android 6.0,2019-05-21
wt88047_pro_global,Redmi 2 Pro,Global,Android 5.1,2018-08-03
HM2014011,Redmi 1S TD 3G,China,Android 4.4,2018-09-07
HM2014501,Redmi 1S TD 4G,China,Android 4.4,2018-09-07
lcsh92_wet_tdd,Redmi Note 1 TD,China,Android 4.4,2018-08-03
lcsh92_wet_jb9,Redmi Note 3G,China,Android 4.4,2018-08-03
armani,Redmi 1S,China,Android 4.4,2018-09-07
aries_global,MI 2S,Global,Android 5.0,2018-10-14
aries,MI 2S,China,Android 5.0,2018-10-14
armani_global,Redmi 1S,Global,Android 4.4,2018-09-09
wt88047_pro,Redmi 2 Pro,China,Android 5.1,2018-09-07
wt86047_pro,Redmi 2 Pro,China,Android 5.1,2018-09-07
cancro_lte_ct,MI 4 LTE CT,China,Android 6.0,2018-10-14
ido_xhdpi_global,Redmi 3/3 Pro,Global,Android 5.1,2018-09-08
vince_ru_global,Redmi 5 Plus,Russia,Android 7.1,2018-08-08
cancro_global,MI 3 / Mi 4,Global,Android 6.0,2018-10-14
pisces,MI 3 TD,China,Android 4.4,2018-09-07
mocha_global,MiPad 1,Global,Android 4.4,2018-09-09
mocha,MiPad 1,China,Android 4.4,2018-09-07
lte26007,Redmi 2A,China,Android 4.4,2018-09-26
leo,Mi Note Pro,China,Android 7.0,2018-10-14
latte,MiPad 2,China,Android 5.1,2018-09-07
hermes_global,Redmi Note 2,Global,Android 5.0,2018-09-09
wt88047,Redmi 2,China,Android 4.4,2018-09-07
wt88047_global,Redmi 2,Global,Android 4.4,2018-09-07
wt86047,Redmi 2,China,Android 4.4,2018-09-07
virgo_global,Mi Note,Global,Android 6.0,2018-10-14
virgo,Mi Note,China,Android 6.0,2018-10-14
hermes,Redmi Note 2,China,Android 5.0,2018-09-07
gucci,Redmi Note 1S 4G,China,Android 4.4,2018-09-07
dior,Redmi Note 4G,China,Android 4.4,2018-09-07
dior_global,Redmi Note 4G,Global,Android 4.4,2018-09-09
ferrari,MI 4i,China,Android 5.0,2018-10-14
hennessy,Redmi Note 3 (MTK),China,Android 5.0,2018-09-07
gucci_global,Redmi Note 1S 4G,Global,Android 4.4,2018-09-07
ferrari_global,MI 4i,Global,Android 5.0,2018-09-07
ido_xhdpi,Redmi 3,China,Android 5.1,2018-10-14
aqua,MI 4S,China,Android 7.0,2018-11-08
libra,Mi 4c,China,Android 7.0,2018-10-30
cancro,MI 3 / Mi 4,China,Android 6.0,2018-11-07
vince_global,Redmi 5 Plus / Note 5,Global,Android 8.1,2019-11-20
gemini,MI 5,China,Android 8.0,2019-01-08
gemini_global,MI 5,Global,Android 8.0,2019-02-04
kenzo,Redmi Note 3 Pro,China,Android 6.0,2019-01-16
kenzo_global,Redmi Note 3 Pro,Global,Android 6.0,2019-01-25
mido_global,Redmi Note 4,Global,Android 7.0,2019-11-19
omega,Redmi Pro,China,Android 6.0,2019-03-29
cappu,Mi Pad 3,China,Android 7.0,2019-08-30
kate_global,Redmi Note 3 SE,Global,Android 6.0,2019-03-29
nikel_global,Redmi Note 4 MTK,Global,Android 6.0,2019-03-29
ysl_global,Redmi S2/Y2,Global,Android 9.0,2020-09-29
helium,Mi Max Prime,China,Android 7.0,2019-06-18
ysl,Redmi S2,China,Android 9.0,2020-08-05
helium_global,Mi Max Prime,Global,Android 7.0,2019-05-13
hydrogen,Mi Max,China,Android 7.0,2019-06-18
hydrogen_global,Mi Max,Global,Android 7.0,2019-05-13
tulip_ru_global,Redmi Note 6 Pro,Russia,Android 8.1,2019-03-11
nikel,Redmi Note 4 MTK,China,Android 6.0,2019-05-22
rolex_global,Redmi 4A,Global,Android 7.1,2019-07-03
land,Redmi 3S,China,Android 6.0,2019-05-21
land_global,Redmi 3S,Global,Android 6.0,2019-05-28
markw,Redmi 4 Prime,China,Android 6.0,2019-05-21
prada,Redmi 4,China,Android 6.0,2019-05-21
rolex,Redmi 4A,China,Android 6.0,2019-05-21
capricorn_global,Mi 5s,Global,Android 8.0,2019-06-28
natrium_global,Mi 5s Plus,Global,Android 8.0,2019-06-28
clover,Mi Pad 4 (Plus),China,Android 8.1,2019-08-29
markw_global,Redmi 4 Prime,Global,Android 6.0,2019-05-20
raphael,Redmi K20 Pro,China,Android 11.0,2021-11-25
cactus_global,Redmi 6A,Global,Android 9.0,2020-09-22
cereus_global,Redmi 6,Global,Android 9.0,2020-09-22
grus_global,Mi 9 SE,Global,Android 11.0,2021-05-25
sagit_global,Mi 6,Global,Android 9.0,2020-03-23
rosy_global,Redmi 5,Global,Android 8.1,2020-01-09
