id,device,last_android_version,last_update_date,chipset,keyword
mione_plus,mi 1s,Android 4.1,4/12/15,Qualcomm MSM8260,qualcomm msm8260
taurus,mi 2a,Android 4.1,4/27/15,Snapdragon S4 Pro,snapdragon s4 pro
HM2013022,redmi 1 td,Android 4.4,11/15/17,Qualcomm MSM8228 Snapdragon 400 (28 nm),"qualcomm msm8228,snapdragon 400"
HM2014813,redmi 2 lte,Android 4.4,3/29/15,"Qualcomm MSM8916,Snapdragon 410 (28 nm)","qualcomm msm8916,snapdragon 410"
HM2013023_sg_global,redmi 1 w,Android 4.4,12/24/15,Qualcomm MSM8228 Snapdragon 400 (28 nm),"qualcomm msm8228,snapdragon 400"
HM2014811,redmi 2 lte,Android 4.4,10/17/15,"Qualcomm MSM8916,Snapdragon 410 (28 nm)","qualcomm msm8916,snapdragon 410"
virgo_lte_ct,mi note lte ct,Android 4.4,8/23/16,"Qualcomm MSM8974AC,Snapdragon 801 (28 nm)","qualcomm msm8974ac,snapdragon 801"
lcsh92_wet_jb9_global,redmi note 3g,Android 4.4,8/3/18,Qualcomm MSM8956,qualcomm msm8956
HM2013023,redmi 1,Android 4.4,9/26/18,"Qualcomm MSM8228,Snapdragon 400 (28 nm)","qualcomm msm8228,snapdragon 400"
prada_global,redmi 4,Android 6.0,5/21/19,"Qualcomm MSM8940,Snapdragon 435 (28 nm)","qualcomm msm8940,snapdragon 435"
wt88047_pro_global,redmi 2 pro,Android 5.1,8/3/18,"Qualcomm MSM8916,Snapdragon 410 (28 nm)","qualcomm msm8916,snapdragon 410"
HM2014011,redmi 1s td 3g,Android 4.4,9/7/18,"Qualcomm MSM8228,Snapdragon 400 (28 nm)","qualcomm msm8228,snapdragon 400"
lcsh92_wet_jb9,redmi note 3g,Android 4.4,8/3/18,Qualcomm MSM8956,qualcomm msm8956
HM2014501,redmi 1s td 4g,Android 4.4,9/7/18,"Qualcomm MSM8228,Snapdragon 400 (28 nm)","qualcomm msm8228,snapdragon 400"
